hit_direct,hit_distance,hit_height,landing_direct,landing_distance,landing_height,x_direct,x_distance,y_direct,y_distance,velocity,ball_type
3,1,2,2,1,2,0,0,0,0,20.965,netplay
2,1,2,3,1,2,0,0,0,0,23.511999999999997,netplay
3,2,2,2,4,1,0,0,0,0,20.573,long
2,4,1,2,2,2,0,0,0,0,27.78,smash
2,2,2,2,1,2,0,0,0,0,20.049,netplay
2,1,2,2,3,1,0,0,0,0,39.292,lob
2,3,1,1,3,2,0,0,0,0,30.739,smash
3,4,1,1,1,2,0,0,0,0,0.0,cut
3,1,2,1,4,1,0,0,0,0,14.732999999999999,lob
3,4,1,2,4,1,0,0,0,0,44.71,long
2,4,1,1,1,2,0,0,0,0,22.068,cut
3,1,2,1,1,2,0,0,0,0,4.822,netplay
3,1,2,1,4,2,0,0,0,0,2.699,lob
3,4,2,1,2,2,0,0,0,0,6.445,cut
3,2,2,2,3,1,0,0,0,0,0.0,lob
2,3,1,1,4,1,0,0,0,0,0.0,long
3,4,1,2,3,1,0,0,0,0,0.0,long
2,3,1,1,4,1,0,0,0,0,14.373,long
3,4,1,1,1,2,0,0,0,0,69.941,cut
3,1,2,2,4,1,0,0,0,0,36.939,lob
2,4,1,2,3,1,0,0,0,0,37.421,long
2,3,1,2,1,2,0,0,0,0,72.062,cut
3,2,2,2,4,1,0,0,0,0,0.0,long
2,4,1,1,4,2,0,0,0,0,0.0,long
3,2,2,2,4,1,0,0,0,0,33.385999999999996,long
2,4,1,1,4,1,0,0,0,0,22.86,long
3,4,1,2,1,2,0,0,0,0,33.825,cut
2,1,2,1,4,1,0,0,0,0,29.461,lob
3,4,1,1,2,2,0,0,0,0,12.924000000000001,cut
3,2,2,2,2,2,0,0,0,0,22.969,netplay
2,2,2,1,4,1,0,0,0,0,31.136999999999997,lob
3,4,1,1,3,2,0,0,0,0,27.953000000000003,smash
3,4,1,2,3,2,0,0,0,0,35.192,smash
2,3,2,1,1,2,0,0,0,0,42.224,netplay
3,1,2,2,3,1,0,0,0,0,41.763000000000005,lob
2,3,1,3,3,2,0,0,0,0,32.921,smash
3,2,2,1,1,2,0,0,0,0,27.173000000000002,netplay
3,1,2,2,3,1,0,0,0,0,39.49,lob
2,3,1,2,1,2,0,0,0,0,33.257,cut
2,1,2,1,4,1,0,0,0,0,0.0,lob
3,4,1,1,1,2,0,0,0,0,14.289000000000001,cut
3,1,2,1,4,1,0,0,0,0,28.979,lob
3,4,1,2,4,1,0,0,0,0,0.0,long
2,4,1,1,4,1,0,0,0,0,14.36,long
3,4,1,1,4,1,0,0,0,0,43.978,long
3,4,1,2,2,2,0,0,0,0,29.886,cut
2,2,2,1,1,2,0,0,0,0,22.629,netplay
3,1,2,2,1,2,0,0,0,0,48.185,netplay
2,1,2,2,1,2,0,0,0,0,27.064,lob
3,2,2,2,4,1,0,0,0,0,37.357,long
2,4,1,2,3,2,0,0,0,0,78.074,smash
2,3,2,1,2,2,0,0,0,0,0.0,netplay
3,2,2,2,4,1,0,0,0,0,0.0,lob
2,4,1,1,4,1,0,0,0,0,54.281000000000006,long
3,4,1,2,2,2,0,0,0,0,22.979,smash
2,2,2,1,1,2,0,0,0,0,23.504,netplay
3,2,2,2,4,1,0,0,0,0,51.551,long
2,4,1,1,3,2,0,0,0,0,0.0,cut
3,3,2,2,1,2,0,0,0,0,17.433,netplay
2,1,2,1,4,2,0,0,0,0,20.715999999999998,lob
3,4,2,2,2,2,0,0,0,0,30.361,cut
2,2,2,2,1,2,0,0,0,0,24.406,netplay
2,1,2,1,4,2,0,0,0,0,29.544,lob
3,4,2,2,2,2,0,0,0,0,27.331,drive
2,2,2,2,4,1,0,0,0,0,37.2,lob
2,4,1,1,1,2,0,0,0,0,40.135999999999996,cut
3,1,2,1,1,2,0,0,0,0,39.669000000000004,netplay
3,1,2,1,1,2,0,0,0,0,39.101,netplay
3,2,2,1,4,1,0,0,0,0,12.378,long
3,4,1,2,3,1,0,0,0,0,6.406000000000001,long
2,3,1,1,4,1,0,0,0,0,31.24,long
3,4,1,1,4,2,0,0,0,0,0.0,long
3,4,2,2,1,2,0,0,0,0,14.248,cut
2,1,2,2,3,1,0,0,0,0,76.09,lob
2,3,1,1,4,1,0,0,0,0,37.286,long
3,4,1,1,4,1,0,0,0,0,27.491,long
3,4,1,2,4,1,0,0,0,0,26.41,long
2,4,1,1,1,2,0,0,0,0,73.243,cut
3,1,2,2,1,2,0,0,0,0,24.005,netplay
2,1,2,1,4,1,0,0,0,0,0.0,lob
3,4,1,1,1,2,0,0,0,0,15.001,cut
3,1,2,2,1,2,0,0,0,0,53.879,netplay
2,1,2,1,1,2,0,0,0,0,20.771,netplay
3,2,2,2,4,1,0,0,0,0,23.804000000000002,long
2,4,1,2,2,2,0,0,0,0,41.998000000000005,cut
2,2,2,1,3,1,0,0,0,0,22.471,lob
3,3,1,2,1,2,0,0,0,0,26.493000000000002,cut
2,1,2,2,1,2,0,0,0,0,68.983,netplay
3,4,1,2,3,2,0,0,0,0,45.075,cut
2,3,2,1,1,2,0,0,0,0,22.679000000000002,netplay
3,1,2,2,4,1,0,0,0,0,11.28,lob
2,4,1,1,2,2,0,0,0,0,16.561,smash
3,2,2,2,3,1,0,0,0,0,0.0,lob
2,3,1,1,2,2,0,0,0,0,14.423,smash
3,2,2,2,0,2,0,0,0,0,47.305,netplay
2,4,1,1,2,2,0,0,0,0,28.561,cut
3,2,2,2,1,2,0,0,0,0,41.861999999999995,netplay
2,1,2,1,1,2,0,0,0,0,28.4,netplay
3,2,2,1,4,1,0,0,0,0,23.105,long
3,4,1,2,3,1,0,0,0,0,31.65,long
2,3,1,1,4,1,0,0,0,0,35.453,long
3,4,1,1,2,2,0,0,0,0,34.497,cut
3,2,2,2,1,2,0,0,0,0,27.051,netplay
2,1,2,1,4,1,0,0,0,0,7.671,lob
3,4,1,2,3,2,0,0,0,0,15.887,cut
2,3,2,1,1,2,0,0,0,0,32.762,netplay
3,1,2,2,1,2,0,0,0,0,6.968,netplay
2,1,2,1,4,1,0,0,0,0,7.392,lob
3,4,1,1,1,2,0,0,0,0,0.0,cut
3,1,2,1,4,2,0,0,0,0,14.512,lob
3,4,2,2,1,2,0,0,0,0,57.896,cut
2,1,2,2,3,1,0,0,0,0,35.163000000000004,lob
2,3,1,2,4,1,0,0,0,0,25.726,long
2,4,1,0,4,2,0,0,0,0,4.578,long
3,2,2,2,4,1,0,0,0,0,0.0,long
2,4,1,2,3,1,0,0,0,0,0.0,long
2,3,1,1,4,1,0,0,0,0,62.318000000000005,long
3,4,1,2,3,1,0,0,0,0,17.769000000000002,long
2,3,1,1,4,1,0,0,0,0,32.405,long
3,4,1,1,1,2,0,0,0,0,52.147,cut
3,1,2,2,4,1,0,0,0,0,36.016999999999996,lob
2,4,1,1,5,2,0,0,0,0,70.42699999999999,long
3,2,2,1,4,1,0,0,0,0,42.206,long
3,4,1,2,2,2,0,0,0,0,0.0,smash
2,2,2,1,4,1,0,0,0,0,0.0,lob
3,4,1,2,2,2,0,0,0,0,32.996,smash
2,2,2,1,3,1,0,0,0,0,12.894,lob
3,3,1,2,3,2,0,0,0,0,3.1239999999999997,smash
2,3,2,4,1,2,0,0,0,0,0.0,lob
3,2,2,1,4,1,0,0,0,0,13.912,long
3,4,1,1,1,2,0,0,0,0,62.895,cut
3,1,2,2,3,1,0,0,0,0,29.384,lob
2,3,1,1,3,2,0,0,0,0,49.023,smash
3,3,2,1,1,2,0,0,0,0,13.286,netplay
3,1,2,1,4,2,0,0,0,0,25.399,lob
3,2,2,2,4,1,0,0,0,0,68.487,long
2,4,1,2,2,2,0,0,0,0,22.772,cut
2,2,2,1,1,2,0,0,0,0,6.317,netplay
3,1,2,1,1,2,0,0,0,0,20.308,netplay
3,1,2,1,1,2,0,0,0,0,30.886,netplay
3,1,2,1,4,2,0,0,0,0,25.761,lob
3,4,2,1,1,2,0,0,0,0,26.15,cut
3,1,2,2,3,1,0,0,0,0,20.524,lob
2,3,1,2,4,1,0,0,0,0,33.323,long
2,4,1,2,4,2,0,0,0,0,28.105999999999998,long
3,2,2,2,4,1,0,0,0,0,0.0,long
2,4,1,2,4,1,0,0,0,0,14.012,long
2,4,1,1,4,1,0,0,0,0,51.146,long
3,4,1,2,1,2,0,0,0,0,30.26,cut
2,1,2,1,4,2,0,0,0,0,38.448,lob
3,4,2,1,1,2,0,0,0,0,23.171,cut
3,1,2,2,1,2,0,0,0,0,28.956999999999997,netplay
2,1,2,2,4,1,0,0,0,0,21.9,lob
2,4,1,1,4,1,0,0,0,0,2.5860000000000003,long
3,4,1,2,3,2,0,0,0,0,0.0,smash
2,3,2,1,1,2,0,0,0,0,28.855,netplay
3,1,2,2,4,1,0,0,0,0,50.963,lob
2,4,1,1,4,1,0,0,0,0,33.664,long
3,4,1,2,3,2,0,0,0,0,70.775,smash
2,3,2,1,1,2,0,0,0,0,43.938,netplay
3,1,2,1,1,2,0,0,0,0,81.477,netplay
3,1,2,1,4,1,0,0,0,0,12.994000000000002,lob
3,4,1,1,1,2,0,0,0,0,0.0,cut
3,1,2,2,1,2,0,0,0,0,15.152000000000001,netplay
2,1,2,1,1,2,0,0,0,0,30.13,netplay
3,1,2,2,4,2,0,0,0,0,22.605,lob
2,4,2,2,1,2,0,0,0,0,65.861,cut
3,2,2,1,5,2,0,0,0,0,28.114,long
3,2,2,1,1,2,0,0,0,0,25.634,netplay
