velocity,x_direct,x_distance,y_direct,y_distance,d12,d23,d34,d45,d26,d67,d78,d215,d159,d910,d1011,d1512,d1213,d1314,type
37.77,3,4,2,2,10,14.142,15.297,9.22,16.553,9.899,15.033,30,23.431,21.84,32,20.025,26.926,21.932,long
25.898,3,3,3,3,24,10.63,23,24.042,10.63,7,17.889,31,24.352,42.72,39.623,24.352,32.985,34.438,cut
13.725,3,2,3,2,14.866,14.318,18.788,17.493,10.817,13.601,18.028,27.857,20.881,21.26,26.249,15.811,17.029,16.643,netplay
19.626,3,2,2,2,19.313,10.05,21.84,11.402,10.44,17.029,10,38.288,21.471,28.862,29.698,22.091,26.833,36.892,lob
31.305,3,3,3,3,35.777,0,24.352,25.298,8,39,16,25.298,24,33.242,35.777,24,17.889,17.889,cut
6.522,2,2,3,3,17.889,17.889,11.314,17.889,11.314,17.889,17.889,24,17.889,35.777,17.889,17.889,25.298,17.889,netplay
18.957,2,2,2,2,20.248,9.487,17.263,15.297,10.44,11.045,11.18,42.544,14.866,27.459,32.558,16.031,30.083,33.106,lob
22.488,2,3,2,2,32,17.464,11.314,16,10.63,17,23,28.018,24.042,32.757,34.438,23,39,35.341,lob
27.808,2,3,2,2,24.042,8,11.314,17,7,17.889,10.63,16,17,23,24.352,16.553,31.78,32.527,cut
23.231,2,3,2,2,25,11.314,10.63,23,10.63,17,17.889,28.018,25.298,32.016,11.314,24,31,34.438,lob
29.767,3,4,2,2,17.464,17,13.038,14.318,15,14.318,13.928,27.203,17.692,24.352,33.242,14.142,32.016,25.962,long
65.487,2,3,2,3,32.757,16,33.242,17.889,17,28.302,10.63,25.298,25.298,40,40.792,25.298,42.72,40,cut
12.183,2,2,2,3,17.889,17,16,16,7,16,25,16,16,32.985,24,17.464,17.889,64.498,netplay
12.615,2,3,2,2,15.652,12.369,15.652,12.369,9.849,10.44,17.029,38.897,20.248,18.111,28.178,23.022,26.476,26.249,lob
49.578,2,3,2,2,21.095,12.083,18.111,22,7.211,22.804,23.345,38.601,27.019,24.166,46.615,25,30.48,37.656,lob
33.928,2,3,2,2,14.422,11.662,18.248,14.142,18.788,13.601,14.765,27.295,22.023,29.017,26.173,22.361,27.459,24.021,netplay
9.57,3,3,2,2,25.298,8,16.553,30,0,23,17.889,27.459,17.889,34.438,28.844,17.889,39.812,45.277,netplay
21.476,2,2,2,2,20.591,13.342,17.088,23.431,17.088,19.416,17.72,15.524,13.928,14.213,26,15.811,20,9.22,lob
37.194,3,2,3,3,28.302,8,28.844,0,15,10.63,35.777,24,24.352,56.569,39.812,23,48,47.676,long
39.562,3,3,3,4,20.125,22.091,23.345,29.155,15.524,19.235,11.402,46.53,28.653,37.483,42.107,25.298,30.414,36.688,cut
23.868,2,2,3,2,18.111,11.402,14.56,20.248,20.396,11.402,15.264,20.616,18.385,17.804,26.926,17.088,14.866,11.662,lob
41.45,2,3,2,3,16.401,13.928,33.015,25.962,19.026,18.868,22.204,41.773,37.643,28.32,42.379,26.249,30.806,32.249,cut
10.93,3,2,2,3,17.464,11.314,10.63,21.213,7,23.409,11.314,17.889,16.553,27.459,21.932,16.553,17,17,netplay
5.614,3,3,3,2,32.985,8,21.932,15,16,31.048,8,25.298,24,23,32.985,21.932,35.777,25,netplay
6.102,3,1,3,2,16.031,7.071,15.232,14.318,11.314,11.662,10,30.083,23.259,22.023,29.732,23.022,16.279,19.209,netplay
12.929,3,2,3,1,25.298,17,17.889,8,8,17,21.932,25.298,25.298,17,32,17.464,35.777,32.985,netplay
69.941,2,3,2,3,20.518,22.361,25.298,24.515,18,16.492,12.042,43.932,31.401,33.615,36.715,27.514,32.311,35.847,smash
36.939,2,3,2,3,16,11.314,16,16,11.314,11.314,8,24,17.889,24.352,22.627,17.889,28.018,25.298,netplay
37.421,3,3,2,2,25.298,10.63,16,17,8,28.844,17.889,24,25,24.352,40,25.298,39.205,43.081,lob
72.062,3,2,3,2,12.806,13.342,22.847,14.213,21.541,21.024,16.155,29.732,21.633,25.08,24.042,17.117,22.136,25.08,smash
33.386,3,3,3,3,21.954,24.083,19.849,27.459,14.318,23.537,19.849,48.754,23.601,40.012,41.11,25.632,32.14,32.558,cut
22.86,2,2,3,2,24.042,8,8,11.314,7,11.314,11.314,8,8,21.932,25.298,10.63,11.314,21.213,lob
33.825,3,3,3,3,24.352,17.889,11.314,17.889,8,34.886,21.932,23,25.298,32.016,25.298,25.298,45.277,47.676,long
29.461,3,4,3,2,16.279,16.553,10.296,14.56,13.601,15.232,14.422,21.633,22.472,30.083,26,18.028,24.021,26.401,cut
12.924,3,3,3,2,25.298,17.889,17.889,10.63,8,17.889,8,25.298,17,22.627,25.298,17,35.777,31,netplay
22.969,2,2,3,2,25.298,16,16,11.314,7,8,10.63,16,17.889,32.016,25.298,17.464,24.352,25.298,lob
31.137,3,2,3,3,32.985,11.314,28.844,25.298,8,40,32.985,25.298,22.627,28.302,46.648,17.889,21.932,56.569,cut
27.953,2,2,3,3,17.889,10.63,17.464,17.889,15,8,24.352,24.352,8,21.932,28.302,10.63,21.932,21.932,lob
35.192,2,2,2,3,32.016,16,25.298,24,8,21.932,22.627,23,23,40,38.833,34.886,39.812,24,long
42.224,2,3,2,2,17.889,8,16,11.314,10.63,17.889,16,23,15,32.016,28.844,17,32.016,22.627,long
41.763,2,3,2,2,16.553,23.259,23.087,28.071,14.318,17.493,17.117,43.139,24.042,38.471,35,23.345,31.623,32.802,long
27.173,2,3,3,2,24.352,11.314,16,8,15,11.314,16.553,32.985,17,32.985,17.889,16.553,40,34.438,lob
39.49,3,3,3,2,15.232,12.53,14.142,19.026,15.811,17.692,12.166,23.854,22.023,29.682,23.195,19.105,25.942,24.187,long
33.257,3,3,2,3,19.313,21.633,26.926,20.125,20,19.647,23.854,44.777,29,31.145,42.012,24.187,29.155,34.205,cut
28.979,2,3,2,2,21.633,21.932,16.279,22.361,20.224,11,24.331,46.487,24.597,38.013,43.012,24.166,35.228,40.522,long
54.281,3,3,3,3,28.302,8,22.627,32.985,17.889,35.777,25.298,28.844,24,39,40.792,28.844,49.336,46.141,smash
22.979,3,3,3,3,27.459,0,27.459,22.627,11.314,23,0,21.213,17.889,28.018,24.352,17.889,32.016,23,netplay
