velocity,x_direct,x_distance,y_direct,y_distance,x12,y12,x23,y23,x34,y34,x45,y45,x26,y26,x67,y67,x78,y78,x215,y215,x159,y159,x910,y910,x1011,y1011,x1512,y1512,x1213,y1213,x1314,y1314,type
33.831,2,2,2,2,22,8,21,10,10,-11,-30,10,8,17,-2,-13,2,-17,26,35,12,24,0,38,3,36,-2,23,2,30,-22,29,long
16.93,2,3,2,2,16,16,7,0,0,24,-7,15,-8,8,-8,16,-15,7,15,24,15,15,-7,32,-23,0,8,15,0,32,15,31,lob
26.502,2,3,2,2,-3,25,-16,2,-24,-6,-27,-13,11,5,24,4,10,18,9,26,-3,21,-9,34,-5,37,18,21,8,37,20,34,long
14.183,3,2,2,2,8,24,0,0,0,16,8,8,8,0,15,0,0,0,8,16,0,24,7,31,-7,32,15,24,-8,31,0,32,long
38.559,2,3,2,3,15,24,-8,7,-15,24,46,-55,8,-8,30,-31,-23,15,8,23,0,23,0,47,-8,39,23,23,15,32,-15,39,cut
40.831,3,4,3,2,-7,9,-16,-4,-5,-13,8,-6,5,9,5,6,-1,-18,-14,23,-15,17,-3,26,6,28,4,22,6,23,11,24,long
34.418,3,3,3,3,16,24,8,0,24,-8,16,-24,-16,0,-8,-8,8,-24,0,23,8,24,16,40,16,47,-8,24,0,32,-8,39,long
38.062,3,5,3,2,-9,10,-10,5,-5,0,13,-9,4,8,2,11,3,-9,-13,23,-11,18,0,21,-1,28,5,22,3,21,13,22,cut
33.875,3,3,2,2,31,0,8,-8,-39,16,31,-8,0,-8,-23,16,23,-16,8,16,8,23,16,40,8,39,24,15,8,48,0,47,long
37.77,3,4,2,2,-8,6,-14,-2,-3,-15,6,-7,7,15,-7,7,-1,-15,-18,24,-15,18,-6,21,0,32,-1,20,10,25,15,16,long
25.898,3,3,3,3,0,24,8,7,23,0,23,-7,-8,7,0,-7,16,-8,0,31,8,23,15,40,-7,39,-8,23,8,32,-31,15,cut
13.725,3,2,3,2,-5,14,-3,14,8,17,9,15,-9,6,-4,13,6,17,-10,26,-6,20,14,16,8,25,-5,15,1,17,-9,14,netplay
19.626,3,2,2,2,7,18,10,1,-21,6,-9,7,-3,10,17,1,8,6,25,29,10,19,-28,7,-21,21,-2,22,12,24,31,20,lob
31.305,3,3,3,3,16,32,0,0,23,8,24,-8,-8,0,39,0,16,0,-8,24,0,24,23,24,16,32,0,24,-8,16,-16,8,cut
6.522,2,2,3,3,8,16,-16,8,-8,8,8,16,8,8,16,8,8,16,0,24,-8,16,-16,32,-8,16,8,16,8,24,8,16,netplay
18.957,2,2,2,2,11,17,9,3,-17,3,-15,3,-3,10,11,1,11,2,21,37,10,11,-27,5,-22,24,-1,16,11,28,30,14,lob
22.488,2,3,2,2,0,32,16,7,-8,8,-16,0,-8,7,-15,8,-23,0,16,23,7,23,-7,32,15,31,0,23,0,39,15,32,lob
