hit_direct,hit_distance,hit_height,landing_direct,landing_distance,landing_height,x_direct,x_distance,y_direct,y_distance,velocity,type
2,4,1,2,1,2,3,5,3,2,22.679,cut
3,1,2,2,1,2,3,4,3,2,11.28,netplay
3,1,2,2,1,2,2,1,3,2,16.561,netplay
3,2,2,2,4,1,3,3,3,3,14.423,long
3,4,2,3,1,2,2,3,2,3,28.4,cut
2,1,2,3,3,1,2,3,3,2,23.105,lob
2,3,1,2,4,1,3,3,3,3,31.65,long
3,4,1,3,4,1,3,3,3,2,34.497,long
2,4,1,2,1,2,3,2,3,2,27.051,cut
3,1,2,3,1,2,2,2,3,3,7.671,netplay
2,1,2,2,4,1,2,2,2,2,15.887,lob
3,1,2,3,1,2,2,2,2,1,6.968,netplay
2,1,2,2,1,2,2,2,2,2,7.392,netplay
2,4,1,3,2,2,3,4,3,2,57.896,cut
2,2,2,2,3,1,3,3,2,2,35.163,lob
3,3,1,3,1,2,2,3,2,2,25.726,cut
2,1,2,3,1,2,2,3,2,2,4.578,netplay
3,4,1,3,3,2,3,3,3,3,62.318,cut
2,3,2,2,1,2,3,3,3,3,17.769,netplay
3,1,2,3,4,1,3,3,3,2,32.405,lob
2,4,1,2,2,2,3,3,3,2,52.147,smash
3,2,2,3,3,1,3,3,3,2,36.017,lob
2,3,1,2,2,2,3,3,3,2,70.427,smash
3,2,2,3,0,2,3,2,3,2,42.206,netplay
2,4,1,2,2,2,3,3,2,3,32.996,cut
3,2,2,3,1,2,2,2,2,2,12.894,netplay
2,1,2,2,1,2,2,2,2,2,3.124,netplay
3,2,2,2,4,1,2,3,2,2,13.912,long
2,3,1,2,4,1,3,3,3,2,29.384,long
3,4,1,2,2,2,3,2,3,3,49.023,cut
3,2,2,3,1,2,3,3,3,3,13.286,netplay
2,1,2,2,4,1,3,3,3,2,25.399,lob
3,4,1,3,3,2,3,2,3,2,68.487,cut
2,3,2,2,1,2,3,3,3,3,22.772,netplay
3,1,2,3,1,2,2,2,2,2,6.317,netplay
2,1,2,2,4,1,3,5,3,3,20.308,lob
3,1,2,2,4,2,3,1,3,2,25.761,lob
3,4,2,3,1,2,2,3,2,4,26.15,cut
2,4,1,3,3,1,3,4,3,2,51.146,long
2,3,1,2,4,1,3,3,2,2,30.26,long
3,4,1,3,3,1,2,4,2,2,38.448,long
2,3,1,2,4,1,2,3,2,2,23.171,long
3,4,1,3,2,2,2,4,2,2,50.963,smash
2,2,2,2,4,1,2,4,2,2,33.664,lob
3,4,1,3,2,2,2,3,2,2,70.775,smash
2,2,2,2,3,1,2,3,2,2,43.938,lob
3,3,1,3,3,2,2,3,2,2,81.477,smash
2,3,2,5,1,2,2,2,2,2,12.994,lob
2,2,2,2,1,2,3,4,2,2,16.305,netplay
3,1,2,2,1,2,2,2,2,2,14.717,netplay
3,1,2,2,1,2,3,2,3,1,12.503,netplay
3,1,2,2,4,2,3,1,3,1,17.818,lob
3,4,2,2,1,2,3,2,3,3,29.418,cut
3,1,2,3,3,1,2,2,3,2,25.318,lob
2,3,1,3,4,1,2,3,2,3,37.837,long
2,4,1,3,4,2,3,5,3,2,32.118,long
2,4,1,3,4,1,3,3,2,3,30.852,long
2,4,1,2,4,1,3,4,3,2,37.695,long
3,4,1,3,1,2,3,3,3,3,27.846,cut
2,1,2,2,4,2,3,2,3,2,20.571,lob
3,4,2,2,1,2,3,2,3,3,25.435,cut
3,1,2,3,1,2,2,1,3,2,4.169,netplay
2,1,2,3,4,1,2,2,2,2,15.951,lob
3,4,1,3,3,2,3,3,3,2,90.186,smash
2,3,2,2,1,2,3,3,3,3,17.64,netplay
3,1,2,3,4,1,3,3,3,2,25.219,lob
2,4,1,2,4,1,3,4,3,2,31.744,long
2,3,2,2,1,2,3,3,3,3,24.815,netplay
3,1,2,2,1,2,2,2,3,3,11.412,netplay
3,1,2,2,4,1,2,2,2,1,16.818,lob
3,1,2,3,1,2,2,2,2,2,7.115,netplay
2,1,2,2,1,2,2,2,2,3,5.112,netplay
3,1,2,3,4,2,2,1,2,2,21.366,lob
3,2,2,2,5,2,2,2,3,2,7.661,long
3,1,2,3,3,1,2,2,2,2,22.32,lob
2,3,1,3,3,1,2,2,2,3,76.776,drive
2,3,1,2,1,2,2,2,2,3,26.021,netplay
3,1,2,3,1,2,3,3,3,2,9.467,netplay
2,1,2,2,4,2,3,2,3,2,23.24,lob
3,4,2,2,4,2,3,2,3,3,46.33,drive
3,4,2,3,2,1,2,3,2,2,32.636,lob
2,2,1,3,3,2,2,3,2,2,75.605,smash
2,3,2,3,1,2,2,3,2,2,50.055,netplay
3,2,2,3,1,2,3,3,2,2,15.763,netplay
2,1,2,2,1,2,3,2,2,2,6.146,netplay
3,1,2,3,1,2,3,2,3,2,4.651,netplay
2,1,2,3,3,1,3,1,3,2,21.078,lob
2,3,1,2,4,1,3,2,2,2,30.312,long
3,3,2,3,2,1,3,2,3,3,57.949,cut
2,2,1,2,2,2,3,2,3,3,63.126,rush
3,2,2,3,1,2,3,2,3,2,19.615,netplay
2,1,2,2,4,2,3,2,3,2,23.175,lob
3,4,2,3,3,1,3,2,3,3,72.412,long
2,3,1,3,2,2,3,3,3,3,60.126,smash
2,2,2,3,1,2,3,2,3,3,26.096,netplay
3,2,1,3,4,2,2,3,2,4,12.574,cut
2,4,2,3,2,2,2,3,2,3,74.821,netplay
2,2,2,3,3,1,3,3,3,3,2.535,lob
2,3,1,2,2,1,3,3,3,2,50.292,smash
3,2,1,2,3,1,3,2,3,3,44.745,drive
3,3,1,3,1,2,2,3,2,2,21.091,cut
2,1,2,2,4,1,2,3,2,2,19.939,lob
3,4,1,3,3,1,2,3,2,2,42.892,long
2,3,1,2,4,1,2,4,2,2,25.232,long
3,4,1,2,1,2,3,3,3,4,33.885,cut
3,1,2,3,3,1,2,2,2,2,24.141,lob
2,3,1,3,1,2,2,3,2,3,100.801,cut
2,4,1,3,4,1,3,3,2,3,38.099,long
2,4,1,2,1,2,3,4,3,2,43.318,cut
3,1,2,2,1,2,3,4,3,2,13.097,netplay
3,1,2,2,4,1,2,2,2,2,21.98,lob
3,4,1,2,1,2,3,3,3,3,25.906,cut
3,1,2,3,3,1,2,2,3,3,29.212,lob
2,3,1,3,4,1,2,2,2,2,45.628,long
2,4,1,2,3,1,3,5,2,2,43.2,long
3,3,1,3,4,1,3,4,3,2,23.945,long
3,1,2,2,1,2,3,5,3,2,19.524,netplay
3,1,2,3,3,1,2,2,3,2,25.873,lob
2,3,1,2,2,2,2,2,2,3,24.067,cut
3,2,2,3,3,1,2,2,2,2,25.635,lob
2,3,1,2,3,2,2,2,2,2,90.14,smash
3,3,2,2,1,2,2,2,2,3,26.963,netplay
3,4,1,2,3,2,3,3,3,3,92.052,smash
3,3,2,2,1,2,3,3,3,3,21.794,netplay
3,1,2,2,1,2,3,3,3,2,8.996,netplay
3,1,2,2,4,1,2,2,2,2,17.192,lob
3,3,2,3,1,2,3,3,3,4,21.211,netplay
2,1,2,2,4,1,2,2,2,2,24.078,lob
3,4,1,3,2,2,2,3,2,2,90.519,smash
2,2,2,3,3,1,2,4,2,3,36.503,lob
2,3,1,2,2,2,3,3,2,2,81.108,smash
3,2,2,2,3,1,3,3,3,3,43.206,lob
3,3,1,3,3,1,3,3,2,2,65.474,drive
2,3,1,2,1,2,2,3,2,2,18.05,cut
3,1,2,3,1,2,2,2,2,2,7.005,netplay
2,1,2,2,4,1,2,2,2,2,11.294,lob
2,3,2,2,4,1,2,3,2,2,35.282,lob
3,4,1,2,3,2,2,3,2,3,78.911,smash
3,3,2,3,1,2,2,3,2,3,17.241,netplay
2,1,2,3,3,1,3,2,3,2,23.874,lob
2,3,1,3,4,1,3,2,2,3,30.087,long
2,4,1,2,3,1,3,3,2,3,62.081,long
3,3,1,3,1,2,3,3,3,2,22.335,cut
2,1,2,3,3,1,3,2,3,2,25.94,lob
2,3,1,2,3,2,3,2,2,3,50.052,smash
3,3,2,3,1,2,2,3,2,3,18.982,netplay
2,1,2,2,1,2,2,3,2,2,3.783,netplay
3,1,2,2,1,2,2,3,2,2,5.157,netplay
3,4,1,3,2,2,2,4,2,2,60.213,smash
2,2,2,2,4,1,2,3,2,2,27.644,lob
3,4,1,3,1,2,2,4,2,2,29.202,cut
2,1,2,2,1,2,2,3,2,2,7.047,netplay
3,1,2,3,1,2,2,2,2,2,4.569,netplay
2,1,2,3,4,1,2,2,2,1,17.034,lob
2,4,1,3,2,2,3,4,2,2,48.664,cut
2,2,2,2,2,2,3,3,2,3,28.896,netplay
3,2,2,2,1,2,3,3,3,2,16.594,netplay
3,1,2,3,3,1,2,2,3,2,21.515,lob
2,3,1,2,4,1,2,2,2,3,33.594,long
3,4,1,3,1,2,2,4,2,2,27.786,cut
2,1,2,2,1,2,2,3,2,2,5.173,netplay
3,1,2,2,4,1,2,1,2,2,21.781,lob
3,4,1,3,3,2,3,2,3,3,54.923,cut
2,3,2,2,1,2,3,3,3,3,22.388,netplay
3,1,2,3,4,1,3,3,3,2,18.589,lob
3,1,2,3,1,2,3,2,3,3,6.725,netplay
2,1,2,2,4,1,3,2,2,2,18.096,lob
2,1,2,2,1,2,3,2,2,1,12.938,netplay
3,2,2,3,4,1,3,3,2,2,14.553,long
3,1,2,3,4,1,3,3,3,2,23.84,lob
2,4,1,2,1,1,3,3,3,2,28.286,cut
3,1,1,2,1,2,3,3,3,2,14.129,netplay
3,1,2,3,3,1,2,2,3,2,19.924,lob
2,3,1,2,2,2,2,2,2,3,31.545,cut
3,2,2,3,1,2,2,2,2,3,12.146,netplay
2,1,2,2,4,2,2,3,2,2,20.888,lob
3,4,2,2,2,2,2,3,2,2,83.473,cut
3,2,2,2,4,1,2,2,3,2,15.293,long
2,3,1,2,2,2,3,3,3,3,66.504,smash
3,2,2,3,2,2,3,3,3,2,22.979,netplay
2,2,2,3,4,1,3,2,3,2,18.013,lob
2,2,2,2,4,1,3,2,3,3,21.157,lob
3,4,1,3,3,1,3,2,3,3,44.255,long
2,3,1,2,3,2,3,4,3,3,71.017,smash
3,2,2,3,4,1,3,2,2,2,15.099,long
2,4,1,2,2,2,2,2,2,3,63.807,smash
3,2,2,3,1,2,2,3,2,3,20.11,netplay
2,1,2,2,4,1,2,2,2,2,22.592,lob
3,4,1,3,2,2,2,3,2,2,48.005,cut
2,2,2,3,1,2,2,3,3,2,14.54,netplay
2,1,2,5,3,2,3,2,3,2,16.58,lob
3,2,2,2,4,1,2,2,3,2,14.864,long
3,4,1,3,3,1,3,3,3,3,59.035,long
2,3,1,2,3,1,3,3,3,3,30.82,long
3,3,1,2,1,2,3,3,3,2,27.639,cut
2,4,1,2,4,1,2,3,2,5,38.695,long
3,4,1,2,1,2,2,5,2,2,34.575,cut
3,1,2,3,4,1,2,3,3,2,23.818,lob
2,4,1,2,4,1,3,5,3,2,31.597,long
3,4,1,3,1,2,3,3,3,3,30.334,cut
2,1,2,2,1,2,3,2,3,3,7.768,netplay
3,1,2,3,1,2,3,2,3,1,5.049,netplay
2,1,2,2,1,2,3,2,3,1,4.298,netplay
3,1,2,3,4,1,3,2,3,1,16.58,lob
3,4,1,3,2,2,3,2,3,3,57.782,cut
2,2,2,3,3,1,3,2,3,3,45.974,lob
2,3,1,2,4,2,3,2,3,2,43.135,smash
3,2,2,2,3,1,2,3,3,2,14.452,long
3,3,1,2,1,2,2,4,2,2,30.046,cut
3,1,2,3,1,2,3,3,3,2,9.826,netplay
2,4,1,2,2,2,2,3,2,3,53.72,smash
3,2,2,3,1,1,2,2,2,3,21.178,netplay
2,1,1,3,4,2,2,3,2,2,35.536,rush
2,1,2,2,1,2,3,2,3,2,13.413,netplay
3,1,2,2,4,1,3,3,3,2,23.631,lob
3,4,1,3,2,2,2,3,3,2,71.262,smash
2,2,2,2,4,1,2,3,2,2,28.93,lob
3,4,1,3,1,2,2,3,2,2,28.376,cut
2,1,2,2,4,1,2,3,2,2,24.362,lob
3,4,1,2,1,2,2,4,2,2,30.713,cut
3,1,2,2,4,1,3,4,3,2,24.179,lob
3,4,1,2,1,2,2,4,3,2,32.619,cut
3,1,2,2,4,1,3,4,3,2,23.81,lob
3,3,1,3,1,2,3,3,3,3,25.632,cut
2,1,2,3,1,2,3,2,3,3,15.912,netplay
2,1,2,2,3,1,3,2,2,1,12.999,lob
2,2,2,2,2,2,3,3,2,2,21.936,netplay
3,2,2,2,3,2,2,2,2,2,24.49,lob
3,2,2,2,4,1,2,2,3,2,14.896,long
3,4,1,3,2,2,3,3,3,3,64.911,cut
2,2,2,3,3,1,3,3,3,3,32.929,lob
2,3,1,2,2,1,3,3,2,3,46.008,cut
3,2,1,3,1,2,2,2,2,3,17.889,netplay
2,1,2,3,1,2,2,2,2,2,12.946,netplay
2,1,2,2,4,1,3,1,2,2,22.789,lob
3,4,1,3,3,1,3,2,3,3,43.626,long
2,3,1,2,1,2,3,4,3,2,24.497,cut
3,1,2,3,1,2,3,3,3,2,7.817,netplay
2,1,2,2,3,1,3,2,3,2,11.033,lob
3,4,1,3,2,2,2,4,3,2,66.004,smash
2,2,2,2,2,2,2,4,2,2,17.223,netplay
3,2,2,2,1,2,2,2,2,2,16.297,netplay
3,1,2,3,1,2,2,2,3,1,9.702,netplay
2,4,1,2,3,1,2,3,2,3,53.687,long
3,3,1,2,2,2,2,3,2,3,75.577,smash
3,2,2,2,5,2,2,3,2,2,23.056,lob
3,4,1,2,4,1,3,2,3,3,40.386,long
3,4,1,3,1,2,2,4,2,2,31.209,cut
2,1,2,2,4,2,2,3,2,2,25.389,lob
