velocity,x_left_direct,x_left_distance,x_right_direct,x_right_distance,y_left_direct,y_left_distance,y_right_direct,y_right_distance,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,type
4.937,2,4,2,4,2,2,2,2,14,1,29,25,37,25,37,41,37,65,22,25,14,49,-1,73,60,57,45,88,29,96,53,57,45,96,60,120,45,41,netplay
17.186,2,2,2,2,2,2,2,2,20,-10,20,14,13,21,5,45,-3,60,36,14,52,14,60,14,20,53,13,76,13,92,36,53,52,76,60,92,28,37,lob
33.831,2,2,2,2,2,2,2,2,-2,12,20,20,41,30,51,19,21,29,28,37,26,24,28,7,58,79,58,117,61,153,44,78,46,108,24,137,46,55,long
16.93,2,3,2,3,2,2,2,2,14,1,30,17,37,17,37,41,30,56,22,25,14,41,-1,48,60,56,53,88,30,88,53,56,53,88,68,119,45,41,lob
26.502,2,3,2,3,2,2,2,2,82,2,79,27,63,29,39,23,12,10,90,32,114,36,124,54,85,74,76,108,71,145,106,74,114,111,134,145,88,53,long
14.183,3,2,3,2,2,3,2,2,-2,-9,6,15,6,15,6,31,14,39,14,15,29,15,29,15,14,55,21,86,14,118,29,55,21,86,21,118,14,31,long
38.559,2,3,3,3,2,3,2,3,3,33,18,57,10,64,-5,88,41,33,26,49,56,18,33,33,26,103,26,150,18,189,49,103,64,135,49,174,26,80,cut
40.831,3,4,3,4,3,2,3,2,49,19,42,28,26,24,21,11,29,5,47,37,52,43,51,25,13,68,10,94,16,122,32,73,38,96,49,120,28,51,long
34.418,3,3,3,3,3,3,3,3,15,26,31,50,39,50,63,42,79,18,15,50,7,42,15,18,39,97,55,137,71,184,23,97,23,129,15,168,31,73,long
38.062,3,5,3,5,3,2,3,2,46,5,37,15,27,20,22,20,35,11,41,23,43,34,46,25,13,56,13,77,12,105,29,60,32,81,45,103,24,38,cut
33.875,2,3,3,3,2,2,2,2,-3,43,28,43,36,35,-3,51,28,43,28,35,5,51,28,35,44,82,60,122,68,161,60,74,68,122,68,169,36,59,long
37.77,3,3,3,4,2,2,2,2,57,15,49,21,35,19,32,4,38,-3,56,36,49,43,48,28,16,63,10,84,10,116,30,65,40,90,55,106,31,45,long
25.898,3,3,3,3,3,3,3,3,41,-9,41,15,49,22,72,22,95,15,33,22,33,15,49,7,49,69,64,109,57,148,33,69,41,101,10,116,41,46,cut
13.725,3,1,3,2,3,2,3,2,37,2,32,16,29,30,37,47,46,62,23,22,19,35,25,52,16,62,30,78,38,103,17,57,18,74,9,88,22,42,netplay
19.626,3,2,3,2,2,1,2,2,28,6,35,24,45,25,24,31,15,38,32,34,49,35,57,41,70,72,42,79,21,100,58,75,70,99,101,119,60,53,lob
31.305,3,3,3,3,3,3,3,3,40,0,56,32,56,32,79,40,103,32,48,32,87,32,103,32,48,80,71,104,87,136,48,80,40,96,24,104,48,56,cut
6.522,2,2,2,2,3,3,3,3,53,0,61,16,45,24,37,32,45,48,69,24,85,32,93,48,53,56,37,88,29,104,69,56,77,80,85,96,61,40,netplay
18.957,2,2,2,2,2,2,2,2,26,1,37,18,46,21,29,24,14,27,34,28,45,29,56,31,68,66,41,71,19,95,57,71,68,99,98,113,58,55,lob
22.488,2,3,2,3,2,2,2,2,45,-14,45,18,61,25,53,33,37,33,37,25,22,33,-1,33,68,64,61,96,76,127,61,64,61,103,76,135,61,41,lob
27.808,2,4,2,3,2,2,2,2,26,-8,19,15,11,15,3,23,-12,15,26,15,34,31,42,38,11,46,11,69,3,92,26,46,19,77,42,100,19,31,cut
23.231,2,3,2,3,2,1,2,2,29,-14,36,10,44,18,36,25,13,25,29,18,21,33,5,25,60,57,52,88,44,96,52,57,52,88,67,119,52,33,lob
29.767,3,3,3,5,3,2,2,2,84,17,67,21,52,13,53,0,66,6,67,36,53,39,48,26,28,41,20,64,11,96,39,43,40,75,65,82,41,29,long
65.487,2,3,2,3,2,3,2,3,23,-7,30,25,46,25,69,49,61,65,15,33,0,57,7,49,46,73,46,113,38,153,30,73,15,113,15,153,38,49,cut
