hit_direct,hit_distance,hit_height,landing_direct,landing_distance,landing_height,x_direct,x_distance,y_direct,y_distance,velocity_new,type
2,1,2,3,3,1,3,2,2,2,22.51472987,lob
3,3,1,3,1,2,2,2,2,3,31.68930805,cut
2,2,2,2,1,2,3,2,2,2,23.51822385,netplay
2,1,2,2,3,1,3,2,2,2,23.08880924,lob
2,3,1,2,3,1,3,3,3,3,32.26092956,long
3,2,2,3,1,2,2,2,3,2,22.20572547,netplay
3,1,2,3,3,1,3,2,3,2,24.29982313,lob
3,3,1,2,2,1,2,3,2,3,45.82733344,long
2,2,1,3,1,2,2,2,2,3,21.58775163,cut
3,1,2,3,1,2,2,2,2,3,13.25315125,netplay
3,1,2,2,1,2,2,2,3,2,10.35552909,netplay
2,1,2,3,3,1,3,1,3,2,16.96100113,lob
3,3,1,2,2,2,3,2,3,3,54.00442159,cut
2,2,2,2,1,2,2,2,3,3,20.88078622,netplay
2,1,2,2,4,1,2,2,2,2,21.20478658,lob
2,4,1,2,3,1,3,2,3,3,43.29945445,long
2,3,1,2,4,1,2,2,2,4,25.57626674,long
2,2,2,2,1,2,3,2,2,2,23.03755358,netplay
2,1,2,2,1,2,3,2,2,2,13.71032098,netplay
2,1,2,2,3,1,3,1,3,2,16.44191517,lob
2,3,1,3,4,1,2,2,2,5,32.20538522,long
3,4,1,2,2,2,2,2,2,3,39.23772719,cut
2,2,2,3,1,2,2,3,2,2,14.85436968,netplay
3,1,2,2,3,1,2,1,2,2,23.06252539,lob
2,3,1,2,4,1,2,2,2,3,28.07604175,long
2,4,1,2,3,1,2,2,3,3,35.47897901,long
2,3,1,2,3,1,3,2,2,4,27.19998199,long
2,3,1,3,2,2,3,2,3,3,65.25067769,smash
3,2,2,2,2,1,3,3,3,3,37.40176371,netplay
3,2,2,3,4,1,2,2,3,2,14.77968646,long
3,4,1,3,2,2,2,4,2,3,39.02827278,cut
3,2,2,3,3,1,3,2,3,2,22.31688785,lob
3,3,1,2,2,2,2,5,2,3,79.47888052,smash
2,2,2,3,3,1,2,3,2,3,25.94132772,lob
3,3,1,2,2,2,2,2,2,3,52.46476456,cut
2,2,2,2,1,2,2,3,2,3,18.02474578,netplay
2,1,2,3,1,2,3,2,3,3,13.05623629,netplay
3,1,2,3,4,1,3,2,3,2,27.33086197,lob
3,2,2,3,1,2,2,2,3,2,23.57463111,netplay
3,1,2,3,1,2,3,2,3,2,13.20677356,netplay
3,1,2,2,3,1,2,1,2,2,15.89485862,lob
2,3,1,3,2,2,2,2,2,4,49.9476052,cut
3,2,2,2,1,2,2,2,2,3,16.6967082,netplay
2,1,2,3,1,2,2,2,2,2,6.945535198,netplay
3,1,2,2,3,1,2,1,2,2,12.93079195,lob
3,2,2,2,4,1,3,2,2,2,15.9243663,long
2,4,1,2,1,2,3,5,3,3,35.34603172,cut
2,1,2,3,1,2,3,3,2,2,11.12892902,netplay
3,1,2,3,4,1,2,1,2,2,19.70857234,lob
3,4,1,2,2,2,3,2,3,3,49.00057061,cut
2,2,2,3,4,2,3,2,3,3,22.57797197,lob
3,4,2,2,1,1,3,2,3,4,34.06854285,drive
2,2,2,3,1,2,2,2,3,2,21.81466839,netplay
3,1,2,3,3,1,3,2,3,2,30.04782756,lob
3,3,1,3,2,2,2,4,3,3,80.79075013,smash
3,2,2,2,2,1,2,4,2,3,21.72498362,netplay
2,2,1,3,1,2,3,2,3,3,18.58920823,netplay
3,1,2,3,3,1,3,2,3,2,16.5851936,lob
3,3,1,3,2,2,2,4,2,3,64.3529066,smash
3,2,2,3,2,2,2,4,2,3,25.68663217,netplay
3,2,2,2,3,1,2,2,2,3,22.83867558,lob
2,2,2,2,1,2,3,2,2,2,17.5686997,netplay
2,1,2,2,4,1,3,2,2,2,23.13272431,lob
2,4,1,3,2,2,3,3,3,3,60.11248982,cut
3,2,2,3,2,2,3,5,3,3,20.98408428,netplay
3,2,2,2,1,2,2,2,2,3,16.3791633,netplay
2,1,2,2,4,1,2,2,2,2,20.74501051,lob
2,4,1,3,2,2,3,4,3,3,34.98977358,cut
3,2,2,3,3,1,3,2,3,2,29.90738357,lob
3,3,1,3,2,2,2,3,2,3,54.40282391,drive
3,2,2,3,2,1,3,3,3,3,46.87201601,drive
3,2,1,2,2,1,2,2,2,3,28.87337592,long
2,2,1,3,1,2,2,2,2,3,24.96914161,cut
3,1,2,3,1,2,2,2,2,3,18.2201406,netplay
3,1,2,2,4,1,2,2,3,2,18.48153219,lob
3,2,2,2,4,1,3,2,2,2,14.11871126,long
2,4,1,3,2,2,3,4,3,3,72.80401307,smash
3,2,2,3,1,2,3,3,3,3,21.98172896,netplay
3,1,2,2,1,2,2,2,2,3,10.78800418,netplay
2,1,2,3,1,2,2,2,2,2,10.62291036,netplay
3,1,2,3,1,2,2,1,2,2,14.54398701,netplay
3,1,2,2,1,2,3,2,3,2,6.940048345,netplay
2,1,2,3,3,1,3,1,3,2,10.73424917,lob
3,3,1,2,2,2,3,4,2,5,58.64682325,cut
2,2,2,3,3,1,3,3,2,5,26.270838,lob
3,3,1,3,2,2,3,2,3,3,43.24140235,cut
3,2,2,2,1,2,2,2,2,3,18.50118389,netplay
3,2,2,3,4,1,2,2,3,2,15.25120877,long
3,4,1,3,2,2,2,4,2,3,66.5948525,smash
3,2,2,2,2,1,2,3,3,3,30.63109624,cut
2,2,1,3,1,2,3,2,3,3,21.93452711,netplay
3,1,2,2,2,2,3,2,3,2,17.90481209,netplay
2,2,2,2,3,1,3,1,3,2,27.81793811,lob
2,3,1,2,2,2,2,2,2,5,41.09200063,smash
2,2,2,2,3,2,3,2,2,3,24.24819378,lob
2,3,2,3,3,1,2,2,2,4,30.06853661,long
2,2,2,2,1,2,3,2,2,2,22.94372148,netplay
2,1,2,3,2,2,3,2,2,2,13.67412655,netplay
3,2,2,2,1,2,2,2,2,3,12.18880175,netplay
2,1,2,2,4,1,2,1,2,1,18.10728738,lob
2,4,1,2,1,2,3,3,3,3,31.21783896,cut
2,1,2,2,1,2,2,3,2,2,15.18334211,netplay
2,1,2,3,4,2,3,1,2,3,24.40429267,lob
3,4,2,2,2,1,3,2,3,4,42.09677567,drive
2,2,1,3,3,1,3,2,3,3,28.03754465,lob
3,3,1,2,4,1,3,2,3,3,30.61983824,long
2,4,1,3,1,2,3,5,3,3,34.66790013,cut
3,1,2,3,3,1,3,3,3,2,25.37257246,lob
3,3,1,2,3,2,2,3,2,3,66.15666494,smash
2,3,2,3,2,2,2,2,2,3,33.84188533,netplay
3,2,2,2,2,1,2,2,2,3,25.46251346,lob
2,2,1,2,4,1,2,2,2,3,30.07556237,long
2,4,1,3,4,1,2,2,3,3,23.79693048,long
3,2,2,2,4,1,3,2,2,3,15.40994937,long
2,4,1,2,2,2,3,4,3,3,80.46625079,smash
2,2,2,3,2,1,3,3,2,3,25.68352709,netplay
3,2,1,2,2,2,2,2,2,3,40.60011218,netplay
2,2,2,3,3,1,2,2,2,3,43.48505767,lob
3,2,2,3,4,1,2,3,3,2,16.20714249,long
3,4,1,2,2,2,2,5,2,3,50.34307864,smash
2,2,2,3,1,1,2,3,2,2,17.43211551,netplay
3,1,1,2,3,1,2,2,2,3,24.4535571,lob
2,3,1,3,2,2,2,2,2,4,39.0280564,cut
3,2,2,3,1,2,2,2,2,3,18.85740283,netplay
3,1,2,2,3,1,3,2,3,1,18.8333922,lob
2,3,1,2,3,2,3,2,3,3,83.45390393,smash
2,3,2,3,1,2,3,3,2,3,18.02692011,netplay
3,1,2,2,1,2,2,2,2,3,11.92876818,netplay
2,1,2,2,3,1,2,2,2,2,23.08506653,lob
3,2,2,2,3,1,3,2,2,2,15.30032217,long
2,3,1,3,3,2,3,4,3,3,71.02983932,smash
3,3,2,3,1,2,3,3,3,3,24.1625358,lob
3,1,2,2,3,1,2,2,2,3,24.41027024,lob
2,3,1,3,2,1,2,2,2,4,89.12042437,drive
3,2,1,3,2,2,2,2,2,3,22.82789215,drive
