hit_direct,hit_distance,hit_height,landing_direct,landing_distance,landing_height,velocity_new,type
3,4,1,3,2,2,39.0282728,cut
3,2,2,3,3,1,22.3168879,lob
3,3,1,2,2,2,79.4788805,smash
2,2,2,3,3,1,25.9413277,lob
3,3,1,2,2,2,52.4647646,cut
2,2,2,2,1,2,18.0247458,netplay
2,1,2,3,1,2,13.0562363,netplay
3,1,2,3,4,1,27.330862,lob
3,4,1,2,2,1,61.6293702,drive
3,2,2,3,1,2,23.5746311,netplay
3,1,2,3,1,2,13.2067736,netplay
3,1,2,2,3,1,15.8948586,lob
2,3,1,3,2,2,49.9476052,cut
3,2,2,2,1,2,16.6967082,netplay
2,1,2,3,1,2,6.9455352,netplay
3,1,2,2,3,1,12.930792,lob
2,3,1,2,3,0,47.372945,smash
3,2,2,2,4,1,15.9243663,long
2,4,1,2,1,2,35.3460317,cut
2,1,2,3,1,2,11.128929,netplay
3,1,2,3,4,1,19.7085723,lob
3,4,1,2,2,2,49.0005706,cut
2,2,2,3,4,2,22.577972,lob
3,4,2,2,1,1,34.0685429,drive
2,1,1,3,3,0,62.4620483,smash
2,2,2,3,1,2,21.8146684,netplay
3,1,2,3,3,1,30.0478276,lob
3,3,1,3,2,2,80.7907501,smash
3,2,2,2,2,1,21.7249836,netplay
2,2,1,3,1,2,18.5892082,netplay
3,1,2,3,3,1,16.5851936,lob
3,3,1,3,2,2,64.3529066,smash
3,2,2,3,2,2,25.6866322,netplay
3,2,2,2,3,1,22.8386756,lob
2,3,1,3,3,0,51.613217,long
2,2,2,2,1,2,17.5686997,netplay
2,1,2,2,4,1,23.1327243,lob
2,4,1,3,2,2,60.1124898,cut
3,2,2,3,2,2,20.9840843,netplay
3,2,2,2,1,2,16.3791633,netplay
2,1,2,2,4,1,20.7450105,lob
2,4,1,3,2,2,34.9897736,cut
3,2,2,3,3,1,29.9073836,lob
3,3,1,3,2,2,54.4028239,drive
3,2,2,3,2,1,46.872016,drive
3,2,1,2,2,1,28.8733759,long
2,2,1,3,1,2,24.9691416,cut
3,1,2,3,1,2,18.2201406,netplay
3,1,2,2,4,1,18.4815322,lob
2,4,1,2,4,0,27.3346607,long
3,2,2,2,4,1,14.1187113,long
2,4,1,3,2,2,72.8040131,smash
3,2,2,3,1,2,21.981729,netplay
3,1,2,2,1,2,10.7880042,netplay
2,1,2,3,1,2,10.6229104,netplay
3,1,2,3,1,2,14.543987,netplay
3,1,2,2,1,2,6.94004835,netplay
2,1,2,3,3,1,10.7342492,lob
3,3,1,2,2,2,58.6468233,cut
2,2,2,3,3,1,26.270838,lob
3,3,1,3,2,2,43.2414024,cut
3,2,2,2,1,2,18.5011839,netplay
2,1,2,2,5,0,17.8175387,lob
3,2,2,3,4,1,15.2512088,long
3,4,1,3,2,2,66.5948525,smash
3,2,2,2,2,1,30.6310962,cut
2,2,1,3,1,2,21.9345271,netplay
3,1,2,2,2,2,17.9048121,netplay
2,2,2,2,3,1,27.8179381,lob
2,3,1,2,2,2,41.0920006,smash
2,2,2,2,3,2,24.2481938,lob
2,3,2,3,3,1,30.0685366,long
3,3,1,2,2,2,68.6275599,smash
2,2,2,2,1,2,22.9437215,netplay
2,1,2,3,2,2,13.6741266,netplay
3,2,2,2,1,2,12.1888018,netplay
2,1,2,2,4,1,18.1072874,lob
2,4,1,2,1,2,31.217839,cut
2,1,2,2,1,2,15.1833421,netplay
2,1,2,3,4,2,24.4042927,lob
3,4,2,2,2,1,42.0967757,drive
2,2,1,3,3,1,28.0375447,lob
3,3,1,2,4,1,30.6198382,long
2,4,1,3,1,2,34.6679001,cut
3,1,2,3,3,1,25.3725725,lob
3,3,1,2,3,2,66.1566649,smash
2,3,2,3,2,2,33.8418853,netplay
3,2,2,2,2,1,25.4625135,lob
2,2,1,2,4,1,30.0755624,long
2,4,1,3,4,1,23.7969305,long
3,4,1,3,2,0,55.1866068,cut
3,2,2,2,4,1,15.4099494,long
2,4,1,2,2,2,80.4662508,smash
2,2,2,3,2,1,25.6835271,netplay
3,2,1,2,2,2,40.6001122,netplay
2,2,2,3,3,1,43.4850577,lob
3,3,1,2,1,0,30.5913698,cut
3,2,2,3,4,1,16.2071425,long
3,4,1,2,2,2,50.3430786,smash
2,2,2,3,1,1,17.4321155,netplay
3,1,1,2,3,1,24.4535571,lob
2,3,1,3,2,2,39.0280564,cut
3,2,2,3,1,2,18.8574028,netplay
3,1,2,2,3,1,18.8333922,lob
2,3,1,2,3,2,83.4539039,smash
2,3,2,3,1,2,18.0269201,netplay
3,1,2,2,1,2,11.9287682,netplay
2,1,2,2,3,1,23.0850665,lob
2,3,1,5,4,0,22.8787622,long
3,2,2,2,3,1,15.3003222,long
2,3,1,3,3,2,71.0298393,smash
3,3,2,3,1,2,24.1625358,lob
3,1,2,2,3,1,24.4102702,lob
2,3,1,3,2,1,89.1204244,drive
3,2,1,3,2,2,22.8278922,drive
3,2,2,2,3,2,9.96542375,lob
2,3,2,3,2,2,33.1440294,smash
3,2,2,3,3,1,25.6657992,lob
3,3,1,2,3,2,94.9985743,smash
2,3,2,4,4,0,21.5989201,cut
3,2,2,3,4,1,17.8292485,long
3,4,1,2,1,2,11.8916922,smash
2,1,2,3,4,1,17.3513154,lob
3,4,1,4,3,0,59.6618676,smash
2,2,2,2,1,2,21.4736613,netplay
2,1,2,2,3,1,23.9955317,lob
2,3,1,3,2,2,50.9598708,smash
3,2,2,1,1,2,18.7090032,netplay
1,1,2,3,1,2,12.2688256,netplay
3,1,2,3,4,1,17.4372135,lob
3,4,1,3,2,2,41.2760356,cut
3,2,2,2,1,2,15.953352,netplay
2,1,2,2,1,2,14.7740423,netplay
2,1,2,2,3,1,24.2127676,lob
2,3,1,3,3,1,31.6384343,long
3,3,1,2,1,1,28.7513315,cut
2,1,1,3,3,0,40.2263088,smash
2,2,2,2,1,2,24.3961995,netplay
2,1,2,2,1,2,14.275768,netplay
2,1,2,3,3,1,24.4710376,lob
3,3,1,2,2,2,52.5649313,cut
2,2,2,3,2,2,28.129834,netplay
3,2,2,3,3,1,19.1008665,lob
3,3,1,3,3,2,99.8394084,cut
3,3,2,2,1,2,22.551888,netplay
2,1,2,2,2,2,40.7269153,lob
2,2,2,3,2,1,28.2565339,lob
3,2,1,3,2,0,27.3318106,drive
2,2,2,3,1,2,20.7577433,netplay
3,1,2,2,1,2,10.8916302,netplay
2,1,2,2,4,1,23.7262195,lob
2,4,1,3,2,2,50.9201386,smash
3,2,2,3,2,2,20.3573673,drive
3,2,2,2,3,1,21.5632096,lob
2,3,1,3,3,1,49.3758436,long
3,3,1,2,1,2,21.8819122,cut
2,1,2,2,1,2,15.5974172,netplay
2,1,2,2,3,1,21.482703,lob
2,3,1,3,2,2,59.5393416,smash
3,2,2,2,1,2,19.3156382,lob
2,1,2,2,5,0,13.6434599,long
3,2,2,3,3,1,15.266934,long
3,3,1,2,2,2,47.0035073,cut
2,2,2,2,2,1,33.3958081,drive
2,2,1,3,1,2,17.5478355,drive
3,1,2,3,1,2,7.12207323,netplay
3,1,2,2,1,1,9.75366728,netplay
2,1,1,3,1,2,29.7715882,netplay
3,1,2,1,5,0,8.79973116,netplay
2,2,2,2,1,2,19.0846546,netplay
2,1,2,3,1,2,7.48796609,netplay
3,1,2,2,1,2,4.69209718,netplay
2,1,2,2,4,1,16.0621893,lob
2,4,1,3,2,2,59.5511374,smash
3,2,2,2,1,1,16.0798936,lob
2,1,1,3,1,2,9.32811877,drive
3,1,2,2,3,1,17.1664648,lob
2,3,1,3,3,0,69.9305118,smash
3,2,2,3,4,1,16.4616147,long
3,4,1,2,3,2,75.6308509,cut
2,3,2,3,1,2,23.3069628,drive
3,1,2,2,1,2,7.22450327,netplay
2,1,2,2,3,1,22.3207985,lob
2,3,1,3,4,1,31.9783981,long
3,4,1,2,2,2,77.2683026,smash
2,2,2,3,1,2,19.7531616,netplay
3,1,2,3,4,1,26.0835536,lob
3,4,1,2,3,2,72.2030348,drive
2,3,2,3,1,2,29.3892245,netplay
3,1,2,2,2,1,38.4894518,drive
2,2,1,3,2,2,48.8770817,drive
3,2,2,3,2,2,25.2317218,netplay
3,2,2,2,1,2,14.4239419,netplay
2,1,2,3,1,2,6.76437245,lob
3,1,2,3,4,1,20.9943044,lob
3,4,1,3,4,2,54.0494593,long
3,4,2,3,2,2,40.3069448,cut
3,2,2,1,1,0,13.1658338,netplay
3,2,2,2,4,1,16.4336678,long
2,4,1,2,2,2,77.822636,drive
2,2,2,3,1,2,21.8323491,drive
3,1,2,2,3,1,34.309813,lob
2,3,1,2,2,2,65.0866629,smash
2,2,2,3,1,2,19.2896629,netplay
3,1,2,2,1,2,8.09963413,netplay
2,1,2,2,3,1,10.9186444,lob
2,3,1,2,2,0,67.8236948,smash
3,2,2,3,3,1,23.8783576,long
3,3,1,2,1,2,41.8683359,cut
2,1,2,3,1,2,14.0291033,netplay
3,1,2,2,3,1,21.0183455,lob
2,3,1,3,3,2,84.8222656,cut
3,3,2,2,1,2,20.799654,netplay
2,1,2,3,3,1,24.8336204,lob
3,3,1,2,2,2,47.5937399,cut
2,2,2,3,3,1,41.9627249,lob
3,3,1,2,2,2,57.8328757,smash
2,2,2,3,1,1,29.5217478,lob
3,1,1,2,2,2,46.2195679,smash
3,2,2,2,4,1,17.2015106,long
2,4,1,3,2,2,66.3482977,cut
3,2,2,2,1,2,25.5543514,netplay
2,1,2,3,1,2,16.5120493,netplay
3,1,2,2,1,2,11.0294385,netplay
2,1,2,3,4,1,17.3635057,lob
3,4,1,2,2,2,58.2475353,smash
2,2,2,3,1,2,15.7983208,netplay
3,1,2,3,3,1,19.4711656,lob
3,3,1,3,3,2,70.5380692,cut
3,3,2,2,1,2,20.5534645,netplay
2,1,2,3,5,0,18.6730569,lob
3,2,2,3,4,1,16.4529979,long
3,4,1,3,2,2,49.1667789,smash
3,2,2,2,1,1,19.3788643,netplay
2,1,1,3,3,0,73.9531015,rush
2,2,2,3,1,2,20.3133907,netplay
3,1,2,2,3,1,18.7749688,lob
2,3,1,3,2,2,47.7584476,cut
3,2,2,2,1,2,17.8549153,lob
2,1,2,3,3,1,17.6391361,lob
3,3,1,3,1,2,30.7189238,drive
3,1,2,2,2,1,29.1139955,lob
2,2,1,3,1,2,22.6472128,netplay
3,1,2,2,1,2,12.211113,netplay
2,1,2,3,1,2,7.86440369,netplay
3,1,2,3,1,2,16.0900161,netplay
3,1,2,2,1,2,6.64104383,netplay
2,1,2,3,4,1,14.4752636,lob
3,4,1,2,2,2,74.9588674,smash
