,speed_slope,speed_intercepts,angle_mean,angle_std
net shot,0.03311004261161258,3.0917670514566877,0.667504242997569,0.19848007435862727
lob,0.020784171723784866,9.01868998099086,0.6370406280209575,0.13153784161292179
return net,0.039637663946319235,1.619314675671049,0.3908195096672383,0.1457271113400268
clear,0.022737857768395965,8.996734993179954,0.3240203720636298,0.08360531723871244
push,0.008164589078878702,14.104357141271148,0.4814399155448716,0.11151948737868751
short service,0.031290879911268214,4.631696334838615,0.3440404082319076,0.11852860748893548
drop,0.05459386424999276,-4.16695226743542,0.10292399164337193,0.07804125764887608
smash,0.0390537577388465,10.784715723009462,-0.040638127507452916,0.03868160297416169
wrist smash,0.04075145463342209,8.07564770322233,-0.02098773231413921,0.05105816341266556
passive drop,0.0547971483259887,-4.064937438474402,0.12680603428995763,0.09839127645586705
cross-court net shot,0.03539457488995794,2.5297155781006992,0.4629959787564351,0.11279096286849485
drive,0.03769721316554618,8.327861835108067,0.11191458098881402,0.13752356337091678
long service,0.040900653711029175,1.446923931793247,0.6962279502113496,0.17671292789896761
back-court drive,0.036580391033363864,9.150223722913577,0.08384354047293069,0.0882456551322284
defensive return drive,0.017680755764690973,12.695665398916784,0.3317462273553865,0.09312280583701128
defensive return lob,0.015690515380744393,12.389583949007287,0.43187054734557884,0.0806462778607576
rush,0.0507635855809688,5.770418319907094,-0.07372346046051641,0.09261880985910877
driven flight,0.04090561778589675,3.0768949264286167,0.3200256314510813,0.12678063379155494
