rally,ball_round,time,frame_num,player,server,type,aroundhead,backhand,hit_area,hit_x,hit_y,hit_height,lose_reason,win_reason,roundscore_A,roundscore_B,getpoint_player,landing_area,landing_x,landing_y,landing_height
1,1,00:26:10.120,39253,A,1,發長球,,,B2,170,239,2,,,0,0,,B4,319,886,1
1,2,00:26:12.400,39310,B,,長球,,,B4,319,886,1,,,0,0,,B4,57,51,2
1,3,00:26:13.640,39341,A,,過渡切球,,,B4,57,51,2,,,0,0,,A1,106,509,2
1,4,00:26:14.600,39365,B,,放小球,,1,A1,106,509,2,,,0,0,,B1,95,440,2
1,5,00:26:15.520,39388,A,,挑球,,,B1,95,440,2,,,0,0,,A4,117,887,1
1,6,00:26:17.480,39437,B,,殺球,1,,A4,117,887,1,,,0,0,,A2,387,237,2
1,7,00:26:18.200,39455,A,,未擊球,,,A2,387,237,2,落地,殺球精準,0,1,B,,,,
,,,,,,,,,,,,,,,0,1,,,,,
2,1,00:26:33.640,39841,A,,長球,1,,A4,285,33,1,,,0,1,,B4,385,887,1
2,2,00:26:34.840,39871,B,,長球,,,B4,385,887,1,,,0,1,,A4,323,26,1
2,3,00:26:36.120,39903,A,,殺球,1,,A4,323,26,1,,,0,1,,A1,81,606,2
2,4,00:26:36.680,39917,B,,擋小球,,1,A1,81,606,2,,,0,1,,B3,372,862,2
2,5,00:26:37.680,39942,A,,挑球,,,B1,110,423,2,,,0,1,,B1,110,423,2
2,6,00:26:38.720,39968,B,,平球,,,B3,372,862,2,,,0,1,,A2,333,202,2
2,7,00:26:39.280,39982,A,,挑球,,1,A2,333,202,2,,,0,1,,B3,346,834,2
2,8,00:26:40.480,40012,B,,過渡切球,,,B3,346,834,2,,,0,1,,B1,327,470,2
2,9,00:26:41.040,40026,B,,掛網球,,,B1,327,470,2,未回擊成功,對手失誤,1,1,A,,,,
3,1,00:27:05.800,40645,A,1,發長球,,,A2,225,213,2,,,1,1,,A3,100,881,1
3,2,00:27:08.040,40701,B,,長球,1,,A3,100,881,1,,,1,1,,B4,78,22,1
3,3,00:27:08.960,40724,A,,切球,,,B4,78,22,1,,,1,1,,A1,76,524,2
3,4,00:27:09.840,40746,B,,挑球,,1,A1,76,524,2,,,1,1,,A4,291,32,1
3,5,00:27:11.240,40781,A,,長球,1,,A4,291,32,1,,,1,1,,B3,341,878,1
3,6,00:27:12.280,40807,B,,切球,,,B3,341,878,1,,,1,1,,A2,366,284,2
3,7,00:27:13.320,40833,A,,挑球,,1,A2,366,284,2,,,1,1,,B3,363,834,1
3,8,00:27:14.120,40853,B,,殺球,,,B3,363,834,1,,,1,1,,A3,374,96,2
3,9,00:27:14.600,40865,A,,擋小球,,1,A3,374,96,2,,,1,1,,A1,212,492,2
3,10,00:27:15.400,40885,B,,放小球,,1,A1,212,492,2,,,1,1,,B1,86,362,2
3,11,00:27:16.320,40908,A,,挑球,,,B1,86,362,2,,,1,1,,B4,310,888,1
3,12,00:27:17.760,40944,B,,殺球,,,B4,310,888,1,,,1,1,,A3,389,89,2
3,13,00:27:18.440,40961,A,,未擊球,,,A3,389,89,2,落地,殺球精準,1,2,B,,,,
4,1,00:27:48.680,41717,B,1,發長球,,,B2,268,679,2,,,1,2,,B5,90,-48,2
4,2,00:27:51.000,41775,A,,未擊球,,,B5,90,-48,2,出界,對方失誤,2,2,A,,,,
,,,,,,,,,,,,,,,2,2,,,,,
