rally,ball_round,time,frame_num,player,server,type,aroundhead,backhand,hit_area,hit_x,hit_y,hit_height,lose_reason,win_reason,roundscore_A,roundscore_B,getpoint_player,landing_area,landing_x,landing_y,landing_height,flying_time,now_right_x,now_right_y,now_left_x,now_left_y,next_right_x,next_right_y,next_left_x,next_left_y,right_delta_x,right_delta_y,left_delta_x,left_delta_y,right_x_speed,right_y_speed,right_speed,left_x_speed,left_y_speed,left_speed,avg_ball_speed,left_right_distance,hitting_area_number_1,hitting_area_number_2,hitting_area_number_3,hitting_area_number_4,landing_area_number_1,landing_area_number_2,landing_area_number_3,landing_area_number_4
4.0,4.0,00:52:28.960,78724.0,B,,未擊球,,,B2,41.0,194.0,2.0,落地,切球質量佳,3,1,A,,,,,,,,,,,,,,40.0,50.0,70.0,80.0,1.5,16.25,16.31908392036759,5.75,15.5,16.53216561736544,,970.7399239755208,,,,,,,,
5.0,1.0,00:52:50.680,79267.0,A,1.0,發長球,,,B2,227.0,675.0,2.0,,,3,1,,A4,255.0,37.0,1.0,,,,,,430,-149,421,-149,10.0,0.0,50.0,80.0,5.25,5.0,7.249999999999999,6.25,5.5,8.325412902673357,,90.0,,,,,0,0,0,1
5.0,2.0,00:52:52.840,79321.0,B,,切球,,,A4,255.0,37.0,1.0,,,3,1,,B2,288.0,684.0,2.0,1000.0,430,-149,421,-149,359,-28,298,988,50.0,60.0,80.0,80.0,36.25,61.0,70.95817430007624,37.0,23.0,43.56604182158393,0.12852942270157444,804.3742909864785,0,0,0,1,1,0,0,0
5.0,3.0,00:52:53.440,79336.0,A,,挑球,,,B2,288.0,684.0,2.0,,,3,1,,A3,308.0,180.0,1.0,1000.0,359,-28,298,988,375,104,385,104,10.0,90.0,50.0,90.0,10.25,4.75,11.297123527695003,26.25,27.750000000000004,38.19849473474053,0.0982980162566875,97.26767191621273,1,0,0,0,0,1,0,0
5.0,4.0,00:52:54.040,79351.0,B,,擋小球,,1.0,A3,308.0,180.0,1.0,,,3,1,,B1,304.0,565.0,2.0,0.0,375,104,385,104,356,203,398,928,0.0,40.0,70.0,40.0,17.5,24.0,29.70269348055829,18.25,3.5000000000000004,18.58258593414813,0.21420084033448608,987.4107554609682,0,1,0,0,1,0,0,0
5.0,5.0,00:52:54.720,79368.0,A,,放小球,,,B1,304.0,565.0,2.0,,,3,1,,B1,99.0,370.0,2.0,1000.0,356,203,398,928,201,334,301,216,70.0,10.0,20.0,60.0,15.75,4.75,16.450683876362103,17.0,16.5,23.69071548096427,0.07747293434197233,170.3907274472411,1,0,0,0,0,1,0,0
5.0,6.0,00:52:55.680,79392.0,B,,挑球,,,B1,99.0,370.0,2.0,,,3,1,,A3,64.0,876.0,1.0,2000.0,201,334,301,216,232,104,65,1112,0.0,40.0,30.0,20.0,17.5,3.5000000000000004,17.84656829757475,19.25,12.0,22.683970111071826,0.05096076922496363,945.9175439751607,0,1,0,0,1,0,0,0
5.0,7.0,00:52:57.000,79425.0,A,,切球,1.0,,A3,64.0,876.0,1.0,,,3,1,,B2,84.0,326.0,2.0,0.0,232,104,65,1112,104,316,202,178,40.0,80.0,90.0,0.0,34.0,38.0,50.99019513592785,0.25,250.0,250.00012499996876,0.3671900053106021,80.0,1,0,0,0,0,1,0,0
5.0,8.0,00:52:57.960,79449.0,B,,擋小球,,,B2,84.0,326.0,2.0,,,3,1,,A1,285.0,465.0,2.0,1000.0,104,316,202,178,130,267,212,216,0.0,0.0,20.0,10.0,95.0,37.5,102.13349107907747,85.5,49.75,98.9207384727793,,814.213731154173,0,1,0,0,0,1,0,0
5.0,9.0,00:52:58.600,79465.0,B,,掛網球,,,A1,285.0,465.0,2.0,未回擊成功,對方失誤,4,1,A,,,,,,130,267,212,216,,,,,60.0,40.0,20.0,70.0,86.0,146.0,169.44615663980107,69.5,116.75,135.87057260496107,,134.27211177307072,0,1,0,0,,,,
