rally,ball_round,time,frame_num,player,server,type,aroundhead,backhand,hit_area,hit_x,hit_y,hit_height,lose_reason,win_reason,roundscore_A,roundscore_B,getpoint_player,landing_area,landing_x,landing_y,landing_height,flying_time,now_right_x,now_right_y,now_left_x,now_left_y,next_right_x,next_right_y,next_left_x,next_left_y,right_delta_x,right_delta_y,left_delta_x,left_delta_y,right_x_speed,right_y_speed,right_speed,left_x_speed,left_y_speed,left_speed,avg_ball_speed,left_right_distance,hitting_area_number_1,hitting_area_number_2,hitting_area_number_3,hitting_area_number_4,landing_area_number_1,landing_area_number_2,landing_area_number_3,landing_area_number_4
1.0,1.0,00:26:10.120,39253.0,A,1.0,發長球,,,B2,170.0,239.0,2.0,,,0,0,,B4,319.0,886.0,1.0,2000.0,276,171,293,235,285,145,404,1182,0.0,50.0,0.0,20.0,37.5,46.25,59.54252681907277,35.0,77.0,84.581321815162,0.09532823412936076,66.21933252457322,0,1,0,0,0,1,0,0
1.0,2.0,00:26:12.400,39310.0,B,,長球,,,B4,319.0,886.0,1.0,,,0,0,,B4,57.0,51.0,2.0,1000.0,285,145,404,1182,126,-14,153,-73,60.0,40.0,40.0,10.0,16.0,24.0,28.844410203711913,49.0,69.75,85.2412018920428,0.11407919398382861,1043.805537444595,0,1,0,0,0,0,0,1
1.0,3.0,00:26:13.640,39341.0,A,,過渡切球,,,B4,57.0,51.0,2.0,,,0,0,,A1,106.0,509.0,2.0,1000.0,126,-14,153,-73,221,49,208,903,50.0,50.0,10.0,70.0,13.75,76.25,77.47983608655868,10.25,81.75,82.39007828616259,0.15981239000778383,64.88451279003334,0,0,0,1,1,0,0,0
1.0,4.0,00:26:14.600,39365.0,B,,放小球,,1.0,A1,106.0,509.0,2.0,,,0,0,,B1,95.0,440.0,2.0,1000.0,221,49,208,903,181,291,194,254,70.0,20.0,30.0,20.0,6.75,10.5,12.482487732819928,21.75,63.0,66.64879968911669,0.05000999900019995,854.0989404044475,1,0,0,0,0,1,0,0
1.0,5.0,00:26:15.520,39388.0,A,,挑球,,,B1,95.0,440.0,2.0,,,0,0,,A4,117.0,887.0,1.0,2000.0,181,291,194,254,248,91,121,1155,20.0,60.0,40.0,90.0,63.0,1.5,63.017854612800015,36.0,12.75,38.19113116942204,0.06642476947645358,39.21734310225516,0,1,0,0,1,0,0,0
1.0,6.0,00:26:17.480,39437.0,B,,殺球,1.0,,A4,117.0,887.0,1.0,,,0,0,,A2,387.0,237.0,2.0,1000.0,248,91,121,1155,433,297,338,203,90.0,20.0,90.0,90.0,32.25,19.5,37.68703357920334,17.75,30.25,35.07313786931532,,1071.5526118674716,1,0,0,0,0,1,0,0
1.0,7.0,00:26:18.200,39455.0,A,,未擊球,,,A2,387.0,237.0,2.0,落地,殺球精準,0,1,B,,,,,,433,297,338,203,,,,,40.0,20.0,40.0,90.0,64.0,95.5,114.96195022702075,46.5,67.25,81.76070266332108,,133.64505228402584,0,1,0,0,,,,
,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,20.0,40.0,70.0,60.0,44.5,53.5,69.58807369082723,3.25,44.0,44.11986514031973,,1023.7597374384285,,,,,,,,
2.0,1.0,00:26:33.640,39841.0,A,,長球,1.0,,A4,285.0,33.0,1.0,,,0,1,,B4,385.0,887.0,1.0,,,,,,348,35,408,1057,20.0,30.0,40.0,0.0,45.5,29.249999999999996,54.09078017555302,21.0,17.5,27.33587386567329,,16.15549442140351,,,,,1,0,0,0
2.0,2.0,00:26:34.840,39871.0,B,,長球,,,B4,385.0,887.0,1.0,,,0,1,,A4,323.0,26.0,1.0,2000.0,348,35,408,1057,477,-36,471,-21,10.0,70.0,10.0,20.0,7.75,13.25,15.350081433008752,17.75,14.499999999999998,22.919696769372845,0.05182000096487842,988.9595542791424,1,0,0,0,0,0,0,1
2.0,3.0,00:26:36.120,39903.0,A,,殺球,1.0,,A4,323.0,26.0,1.0,,,0,1,,A1,81.0,606.0,2.0,0.0,477,-36,471,-21,477,-43,337,936,60.0,90.0,60.0,70.0,3.5000000000000004,17.75,18.091779901380626,4.0,221.74999999999997,221.78607372871724,0.3934351916135617,117.04699910719626,0,0,0,1,1,0,0,0
2.0,4.0,00:26:36.680,39917.0,B,,擋小球,,1.0,A1,81.0,606.0,2.0,,,0,1,,B3,372.0,862.0,2.0,1000.0,477,-43,337,936,221,346,285,248,10.0,0.0,20.0,70.0,37.25,10.0,38.56893179749732,59.49999999999999,11.749999999999998,60.64909315068115,0.10856478480612394,941.3320349377259,1,0,0,0,0,1,0,0
2.0,5.0,00:26:37.680,39942.0,A,,挑球,,,B1,110.0,423.0,2.0,,,0,1,,B1,110.0,423.0,2.0,1000.0,221,346,285,248,299,171,324,1112,60.0,30.0,90.0,80.0,18.5,6.75,19.69295559330798,7.249999999999999,43.0,43.60690885628102,0.08128845243944555,61.29437168288782,0,1,0,0,0,1,0,0
2.0,6.0,00:26:38.720,39968.0,B,,平球,,,B3,372.0,862.0,2.0,,,0,1,,A2,333.0,202.0,2.0,1000.0,299,171,324,1112,403,229,369,178,80.0,60.0,10.0,40.0,56.99999999999999,24.0,61.846584384264915,45.25,31.0,54.850364629599326,0.03768703357920334,938.2542299398389,0,1,0,0,0,1,0,0
2.0,7.0,00:26:39.280,39982.0,A,,挑球,,1.0,A2,333.0,202.0,2.0,,,0,1,,B3,346.0,834.0,2.0,1000.0,403,229,369,178,330,118,395,1054,90.0,60.0,20.0,90.0,44.75,33.5,55.90002236135509,53.0,19.75,56.56025548032822,0.2040006127441778,907.0088202437724,0,1,0,0,1,0,0,0
2.0,8.0,00:26:40.480,40012.0,B,,過渡切球,,,B3,346.0,834.0,2.0,,,0,1,,B1,327.0,470.0,2.0,1000.0,330,118,395,1054,389,158,385,1065,70.0,40.0,0.0,20.0,19.25,76.0,78.40001594387593,10.0,45.5,46.585942085569116,,998.3411240653166,1,0,0,0,1,0,0,0
2.0,9.0,00:26:41.040,40026.0,B,,掛網球,,,B1,327.0,470.0,2.0,未回擊成功,對手失誤,1,1,A,,,,,,389,158,385,1065,,,,,60.0,80.0,20.0,90.0,11.5,42.0,43.54595273960601,3.0,22.75,22.946949688357275,0.007167838931783347,21.0,1,0,0,0,,,,
3.0,1.0,00:27:05.800,40645.0,A,1.0,發長球,,,A2,225.0,213.0,2.0,,,1,1,,A3,100.0,881.0,1.0,,,,,,240,118,147,1112,80.0,70.0,10.0,40.0,35.5,33.25,48.6396186251496,2.75,26.5,26.64230658182583,,849.0588907726012,,,,,1,0,0,0
3.0,2.0,00:27:08.040,40701.0,B,,長球,1.0,,A3,100.0,881.0,1.0,,,1,1,,B4,78.0,22.0,1.0,0.0,240,118,147,1112,170,-103,191,-103,20.0,10.0,70.0,40.0,4.5,17.25,17.827296486007068,3.25,11.5,11.95041840271712,0.1020122541658599,38.2099463490856,1,0,0,0,0,0,0,1
3.0,3.0,00:27:08.960,40724.0,A,,切球,,,B4,78.0,22.0,1.0,,,1,1,,A1,76.0,524.0,2.0,1000.0,170,-103,191,-103,166,91,176,940,20.0,50.0,90.0,80.0,44.5,51.24999999999999,67.8735036667476,42.75,46.99999999999999,63.53394761857633,0.07740244756394263,1062.870170811092,0,0,0,1,1,0,0,0
3.0,4.0,00:27:09.840,40746.0,B,,挑球,,1.0,A1,76.0,524.0,2.0,,,1,1,,A4,291.0,32.0,1.0,2000.0,166,91,176,940,398,-7,372,21,40.0,90.0,0.0,50.0,46.5,22.25,51.54912705371451,2.5,61.25,61.30099917619614,0.06580822305929725,113.1591799192624,1,0,0,0,0,0,1,0
3.0,5.0,00:27:11.240,40781.0,A,,長球,1.0,,A4,291.0,32.0,1.0,,,1,1,,B3,341.0,878.0,1.0,1000.0,398,-7,372,21,345,-43,388,1019,20.0,90.0,10.0,60.0,55.50000000000001,57.75,80.09564594907765,27.750000000000004,38.5,47.45853453278978,0.12497124669298934,803.0504342816832,0,0,1,0,1,0,0,0
3.0,6.0,00:27:12.280,40807.0,B,,切球,,,B3,341.0,878.0,1.0,,,1,1,,A2,366.0,284.0,2.0,1000.0,345,-43,388,1019,475,297,412,203,80.0,60.0,30.0,50.0,5.5,66.5,66.72705598181295,0.75,36.25,36.25775779057497,0.024100051867164105,112.2007130102122,1,0,0,0,0,1,0,0
3.0,7.0,00:27:13.320,40833.0,A,,挑球,,1.0,A2,366.0,284.0,2.0,,,1,1,,B3,363.0,834.0,1.0,1000.0,475,297,412,203,391,125,400,928,60.0,80.0,50.0,40.0,11.0,138.0,138.43771162512041,3.75,111.5,111.56304271576678,0.1362736218055424,826.1186355481881,0,1,0,0,1,0,0,0
3.0,8.0,00:27:14.120,40853.0,B,,殺球,,,B3,363.0,834.0,1.0,,,1,1,,A3,374.0,96.0,2.0,0.0,391,125,400,928,333,164,423,97,70.0,30.0,30.0,20.0,3.25,59.25,59.339068074920085,38.25,73.0,82.41397029630353,0.059552497848536966,128.3160161476345,1,0,0,0,0,1,0,0
