unique_id,rally,ball_round,time,frame_num,player,server,type,around_head,backhand,hit_area,hit_x,hit_y,hit_height,lose_reason,win_reason,roundscore_A,roundscore_B,getpoint_player,landing_area,landing_x,landing_y,landing_height,flying_time,now_right_x,now_right_y,now_left_x,now_left_y,next_right_x,next_right_y,next_left_x,next_left_y,right_delta_x,right_delta_y,left_delta_x,left_delta_y,right_x_speed,right_y_speed,right_speed,left_x_speed,left_y_speed,left_speed,avg_ball_speed,left_right_distance,hitting_area_number,landing_area_number
2018-Indonesia_open-finals-1-1,1,15,00:00:14.600000,438,B,,長球,,1.0,C2,67,870,1.0,,,0,1,,B4,105.0,36.0,1.0,1000.0,246,-579,188,844,201.0,-713.0,201.0,-713.0,0.0,70.0,80.0,20.0,7.5,23.25,24.429746212353496,0.5,14.499999999999998,14.508618128546907,0.03858837260108283,1424.1815193296113,"[0, 1, 0, 0]","[0, 0, 0, 1]"
2018-Indonesia_open-finals-1-1,1,16,00:00:15.800000,475,A,,切球,,,B3,105,36,1.0,,,0,1,,A2,76.0,641.0,2.0,1000.0,201,-713,201,-713,216.0,-672.0,186.0,786.0,60.0,20.0,70.0,10.0,89.0,40.5,97.78164449425056,44.25,185.25,190.4616103050691,0.262142375437471,0.0,"[0, 0, 0, 1]","[0, 0, 1, 0]"
2018-Indonesia_open-finals-1-1,1,17,00:00:16.600000,498,B,,擋小球,,1.0,C2,76,641,2.0,,,0,1,,A1,373.0,375.0,2.0,1000.0,216,-672,186,786,557.0,-551.0,378.0,28.0,10.0,20.0,90.0,50.0,30.25,123.0,126.66515898225525,57.25,91.25,107.72244427230567,0.15428589983821883,1458.3086093142288,"[0, 0, 1, 0]","[0, 0, 0, 1]"
2018-Indonesia_open-finals-1-1,1,18,00:00:17.700000,530,A,,挑球,,1.0,C1,373,375,2.0,,,0,1,,B4,342.0,929.0,,2000.0,557,-551,378,28,337.0,-180.0,415.0,1151.0,80.0,40.0,70.0,50.0,55.50000000000001,26.5,61.50203248673982,10.75,171.25,171.58707701922077,0.08342098057443342,606.0379526069304,"[0, 0, 0, 1]","[1, 0, 0, 0]"
2018-Indonesia_open-finals-1-1,1,19,00:00:19.200000,577,B,,未擊球,,,B3,342,929,,落地,對手誤判,1,1,A,,,,,3000.0,337,-180,415,1151,335.0,-657.0,335.0,-657.0,60.0,40.0,20.0,80.0,1.0,54.0,54.0092584655631,4.5,4.5,6.363961030678928,0.019921847303902316,1333.2835407369282,"[1, 0, 0, 0]","[0, 0, 0, 1]"
2018-Indonesia_open-finals-1-1,2,1,00:00:22.400000,672,A,1,發長球,,,A2,183,266,2.0,,,2,2,,B4,283.0,923.0,1.0,2000.0,335,-657,335,-657,333.0,-396.0,397.0,1169.0,30.0,90.0,30.0,90.0,34.25,134.75,139.03461799134774,34.25,134.75,139.03461799134774,0.18537949065513032,0.0,"[0, 0, 0, 1]","[1, 0, 0, 0]"
2018-Indonesia_open-finals-1-1,2,2,00:00:24.500000,736,B,,切球,,,A3,283,923,1.0,,,2,2,,B2,113.0,306.0,2.0,1000.0,333,-396,397,1169,198.0,-118.0,198.0,-118.0,60.0,10.0,50.0,40.0,18.5,24.75,30.900040453047954,33.75,36.5,49.71229727139956,0.08050853991968802,1566.3080795296946,"[1, 0, 0, 0]","[0, 0, 0, 1]"
2018-Indonesia_open-finals-1-1,2,3,00:00:25.300000,759,A,,挑球,,,A2,113,306,2.0,,,2,2,,A3,86.0,828.0,1.0,1000.0,198,-118,198,-118,259.0,-495.0,262.0,1023.0,60.0,90.0,60.0,90.0,19.0,115.25,116.80566124978704,19.0,115.25,116.80566124978704,0.23361132249957406,0.0,"[0, 0, 0, 1]","[0, 1, 0, 0]"
2018-Indonesia_open-finals-1-1,2,4,00:00:26.500000,794,B,,切球,,1.0,C2,86,828,1.0,,,2,2,,B2,167.0,216.0,1.0,1000.0,259,-495,262,1023,274.0,-579.0,274.0,-579.0,0.0,80.0,50.0,40.0,17.5,40.5,44.11915683691156,23.75,34.0,41.47363620422014,0.08515757453098344,1518.002964423983,"[0, 1, 0, 0]","[0, 0, 0, 1]"
2018-Indonesia_open-finals-1-1,2,5,00:00:27.100000,814,A,,撲球,,,A2,167,216,1.0,,,2,2,,B5,250.0,-58.0,,1000.0,274,-579,274,-579,329.0,-657.0,357.0,887.0,10.0,50.0,20.0,50.0,17.75,71.25,73.42768551438891,20.5,71.25,74.14049163581261,0.04918142433887005,0.0,"[0, 0, 0, 1]","[0, 1, 0, 0]"
2018-Indonesia_open-finals-1-1,2,6,00:00:28,841,B,,未擊球,,,A4,250,-58,,落地,對手反拍過度過高,3,2,B,B2,201.0,268.0,,5000.0,329,-657,357,887,345.0,-294.0,356.0,-294.0,90.0,0.0,80.0,20.0,0.25,2.5,2.5124689052802225,38.0,55.50000000000001,67.26254529825644,0.01736926614022596,1544.2538651400553,"[0, 1, 0, 0]","[0, 0, 0, 1]"
2018-Indonesia_open-finals-1-1,3,1,00:00:33.800000,1013,A,1,發長球,,,A2,201,268,2.0,,,3,3,,A4,153.0,921.0,1.0,3000.0,345,-294,356,-294,328.0,-647.0,205.0,1109.0,30.0,70.0,20.0,70.0,25.75,100.75,103.9885811038885,23.0,100.75,103.34196872519897,0.13820887975974785,11.0,"[0, 0, 0, 1]","[0, 1, 0, 0]"
2018-Indonesia_open-finals-1-1,3,2,00:00:36,1081,B,,切球,,,A3,153,921,1.0,,,3,3,,A2,349.0,280.0,2.0,0.0,328,-647,205,1109,448.0,-697.0,448.0,-697.0,50.0,90.0,60.0,30.0,16.25,9.75,18.950593658247225,66.5,156.75,170.27275912488176,0.33738146066433466,1760.3025308167912,"[0, 1, 0, 0]","[0, 0, 0, 1]"
2018-Indonesia_open-finals-1-1,3,3,00:00:36.800000,1104,A,,挑球,,1.0,C2,349,280,2.0,,,3,3,,B3,373.0,858.0,1.0,1000.0,448,-697,448,-697,393.0,-608.0,471.0,482.0,90.0,60.0,90.0,60.0,10.25,39.0,40.324465278537794,10.25,39.0,40.324465278537794,0.08064893055707559,0.0,"[0, 0, 0, 1]","[0, 0, 0, 1]"
2018-Indonesia_open-finals-1-1,3,4,00:00:37.900000,1136,B,,殺球,,,B2,373,858,1.0,,,3,3,,A2,362.0,201.0,2.0,1000.0,393,-608,471,482,407.0,-541.0,407.0,-541.0,30.0,10.0,50.0,0.0,16.75,24.75,29.88519700453721,51.24999999999999,85.0,99.25503765552658,0.09085187119702048,1092.787262004824,"[0, 0, 0, 1]","[0, 0, 0, 1]"
2018-Indonesia_open-finals-1-1,3,5,00:00:38.300000,1148,A,,擋小球,,1.0,C2,362,201,2.0,,,3,3,,A1,139.0,606.0,2.0,1000.0,407,-541,407,-541,326.0,-707.0,266.0,822.0,40.0,40.0,40.0,40.0,43.5,18.5,47.270498199193966,43.5,18.5,47.270498199193966,0.09454099639838794,0.0,"[0, 0, 0, 1]","[0, 0, 1, 0]"
2018-Indonesia_open-finals-1-1,3,6,00:00:39.100000,1174,B,,挑球,,1.0,A1,139,606,2.0,,,3,3,,C5,406.0,-16.0,,1000.0,326,-707,266,822,581.0,-467.0,581.0,-467.0,70.0,80.0,60.0,90.0,8.25,20.5,22.09779400754745,9.0,402.75,402.8505461086034,0.1410835548334548,1530.1767871719921,"[0, 0, 1, 0]","[0, 0, 0, 1]"
2018-Indonesia_open-finals-1-1,3,7,00:00:40.700000,1222,A,,未擊球,,,E4,406,-16,,出界,對手失誤,4,3,A,,,,,5000.0,581,-467,581,-467,293.0,-789.0,302.0,-789.0,20.0,50.0,10.0,30.0,59.49999999999999,16.25,61.67910910510948,37.25,415.74999999999994,417.4154105923738,0.10276210771120842,0.0,"[0, 0, 0, 1]","[0, 0, 0, 1]"
2018-Indonesia_open-finals-1-1,4,1,00:00:45.800000,1374,A,1,發長球,,,A2,191,261,2.0,,,4,3,,B4,327.0,913.0,1.0,3000.0,293,-789,302,-789,343.0,-532.0,432.0,1196.0,60.0,0.0,20.0,60.0,39.0,132.5,138.12041847605298,33.0,171.5,174.6460706686526,0.2082733246908441,9.0,"[0, 0, 0, 1]","[1, 0, 0, 0]"
2018-Indonesia_open-finals-1-1,4,2,00:00:48,1441,B,,切球,,,B3,327,913,1.0,,,4,3,,A1,315.0,354.0,2.0,0.0,343,-532,432,1196,449.0,-259.0,434.0,-103.0,30.0,10.0,40.0,10.0,0.75,74.75,74.753762447117,64.0,192.25,202.62295649802365,0.548778871677837,1730.2904380479017,"[1, 0, 0, 0]","[0, 0, 0, 1]"
2018-Indonesia_open-finals-1-1,4,3,00:00:48.800000,1464,A,,擋小球,,1.0,A1,315,354,2.0,,,4,3,,A1,95.0,511.0,2.0,1000.0,449,-259,434,-103,346.0,-831.0,176.0,427.0,70.0,60.0,40.0,80.0,38.25,81.0,89.57713156827472,36.5,133.0,137.917547832029,0.15111961781611574,156.71949463930773,"[0, 0, 0, 1]","[0, 0, 0, 1]"
2018-Indonesia_open-finals-1-1,4,4,00:00:49.900000,1497,B,,挑球,,1.0,C1,95,511,2.0,,,4,3,,B4,160.0,33.0,1.0,2000.0,346,-831,176,427,296.0,-583.0,288.0,-635.0,90.0,20.0,70.0,10.0,12.75,53.0,54.51203995449079,49.25,130.25,139.2502244163362,0.12456647043067229,1269.434519776424,"[0, 0, 0, 1]","[0, 0, 0, 1]"
2018-Indonesia_open-finals-1-1,4,5,00:00:51.900000,1558,A,,殺球,,,A3,160,33,1.0,,,4,3,,B2,215.0,695.0,2.0,1000.0,296,-583,288,-635,295.0,-619.0,373.0,948.0,60.0,10.0,40.0,30.0,34.0,12.75,36.31201591759951,36.0,25.75,44.26129799271594,0.0798889854735933,52.61178575186362,"[0, 0, 0, 1]","[0, 1, 0, 0]"
