rally,ball_round,time,frame_num,player,server,type,aroundhead,backhand,hit_area,hit_x,hit_y,hit_height,lose_reason,win_reason,roundscore_A,roundscore_B,getpoint_player,landing_area,landing_x,landing_y,landing_height,flying_time,now_right_x,now_right_y,now_left_x,now_left_y,next_right_x,next_right_y,next_left_x,next_left_y,right_delta_x,right_delta_y,left_delta_x,left_delta_y,right_x_speed,right_y_speed,right_speed,left_x_speed,left_y_speed,left_speed,avg_ball_speed,left_right_distance,hitting_area_number,landing_area_number
23.0,6.0,01:03:57.560,95939.0,A,,過渡切球,,,B4,83.0,29.0,2.0,,,13,9,,B1,322.0,597.0,2.0,920.0,208,-21,250,49,281,70,175,861,30.0,50.0,90.0,90.0,11.749999999999998,46.25,47.71923092423012,20.25,170.25,171.45006561678534,0.09054447785003678,58.52349955359813,3,1
23.0,7.0,01:03:58.480,95962.0,B,,挑球,,,B1,322.0,597.0,2.0,,,13,9,,B4,78.0,40.0,2.0,1240.0,281,70,175,861,373,-7,451,-103,20.0,0.0,40.0,10.0,27.0,62.5,68.08267033540915,6.0,162.75,162.86056152426835,0.08652031467073672,658.8300236024463,1,4
23.0,8.0,01:03:59.720,95993.0,A,,過渡切球,,,B4,78.0,40.0,2.0,,,13,9,,A1,89.0,577.0,2.0,1040.0,373,-7,451,-103,362,91,428,1050,0.0,90.0,90.0,0.0,27.5,80.25,84.83108215742624,17.75,67.5,69.79478848739353,0.1727240228837928,1074.2052876429161,4,1
23.0,9.0,01:04:00.760,96019.0,B,,挑球,,1.0,A1,89.0,577.0,2.0,,,13,9,,A4,262.0,36.0,1.0,1400.0,362,91,428,1050,165,322,197,273,50.0,50.0,80.0,50.0,26.25,8.75,27.669929526473318,9.5,6.25,11.37156541554416,0.10016971623576887,80.8084154033477,1,2
23.0,10.0,01:04:02.160,96054.0,A,,長球,1.0,,A4,262.0,36.0,1.0,,,13,9,,B2,331.0,739.0,1.0,760.0,165,322,197,273,161,316,222,972,20.0,90.0,90.0,10.0,8.0,14.749999999999998,16.779824194549835,14.749999999999998,25.25,29.242520411209426,,899.1935275567769,2,2
23.0,11.0,01:04:02.920,96073.0,B,,長球,,,B2,331.0,739.0,1.0,,,13,9,,A4,306.0,46.0,1.0,,161,316,222,972,,,,,60.0,70.0,40.0,80.0,6.5,1.7500000000000002,6.73145600891813,6.0,27.0,27.65863337187866,,690.8871108943921,2,
23.0,12.0,01:04:04.720,96118.0,A,,長球,1.0,,A4,306.0,46.0,1.0,,,13,9,,A3,83.0,850.0,1.0,,,,,,,,,,50.0,50.0,60.0,0.0,51.24999999999999,51.24999999999999,72.47844507162112,16.5,27.5,32.07023542164915,,55.154328932550705,,
23.0,13.0,01:04:05.760,96144.0,B,,長球,1.0,,A3,83.0,850.0,1.0,,,13,9,,B4,99.0,25.0,1.0,,,,,,,,,,10.0,50.0,20.0,90.0,12.75,8.75,15.463667094192115,7.000000000000001,35.25,35.93831520814519,,816.081491028929,,
23.0,14.0,01:04:07.360,96184.0,A,,長球,,,B4,99.0,25.0,1.0,,,13,9,,A2,75.0,706.0,1.0,,,,,,178,49,157,1123,10.0,90.0,20.0,60.0,7.75,60.25,60.74639907023296,43.0,66.0,78.77182237323191,,49.8196748283246,,1
23.0,15.0,01:04:08.000,96200.0,B,,擋小球,,1.0,A2,75.0,706.0,1.0,,,13,9,,B1,78.0,360.0,2.0,1000.0,178,49,157,1123,91,-126,144,-65,90.0,90.0,30.0,10.0,22.25,50.24999999999999,54.95566394831383,16.75,10.25,19.637336886655483,0.10426435748340182,51.62363799656123,1,4
23.0,16.0,01:04:09.000,96225.0,A,,挑球,,,B1,78.0,360.0,2.0,,,13,9,,A3,59.0,857.0,2.0,1160.0,91,-126,144,-65,268,21,443,903,60.0,50.0,60.0,0.0,23.499999999999996,83.75,86.98455322642062,26.0,77.5,81.74503042999005,,863.588443646625,4,1
23.0,17.0,01:04:10.160,96254.0,B,,長球,,1.0,A3,59.0,857.0,2.0,,,13,9,,B3,70.0,69.0,1.0,,268,21,443,903,,,,,0.0,0.0,80.0,10.0,47.5,80.0,93.03897032964197,5.5,2.75,6.149186938124422,,47.0,1,
23.0,18.0,01:04:11.240,96281.0,A,,切球,,,B3,70.0,69.0,1.0,,,13,9,,B2,340.0,627.0,2.0,,,,,,,,,,70.0,20.0,20.0,30.0,30.75,89.5,94.63515467309175,39.5,79.25,88.54836249191737,,914.9972677554836,,
23.0,19.0,01:04:12.080,96302.0,B,,未擊球,,,B2,340.0,627.0,2.0,落地,切球質量高,14,9,A,,,,,,,,,,,,,,70.0,70.0,0.0,40.0,3.25,33.25,33.40845701315761,15.0,28.499999999999996,32.20636583037583,,85.0881895447306,,
24.0,1.0,01:04:39.880,96997.0,A,1.0,發小球,,,B2,150.0,253.0,2.0,,,14,9,,B2,353.0,618.0,2.0,,,,,,314,184,404,869,20.0,70.0,20.0,0.0,4.5,94.25,94.35736590219123,7.000000000000001,100.0,100.24470060806208,,1015.5555130075362,,1
24.0,2.0,01:04:40.640,97016.0,B,,挑球,,,B2,353.0,618.0,2.0,,,14,9,,A3,336.0,59.0,1.0,1200.0,314,184,404,869,451,14,400,35,0.0,10.0,40.0,20.0,2.5,25.25,25.373460544435005,4.0,39.5,39.702015062210634,0.026940241781003654,83.86894538504703,1,3
24.0,3.0,01:04:41.840,97046.0,A,,切球,,1.0,A3,336.0,59.0,1.0,,,14,9,,B1,292.0,598.0,2.0,880.0,451,14,400,35,336,63,378,878,60.0,0.0,10.0,70.0,18.5,107.5,109.08024569095909,7.249999999999999,75.75,76.09615627612212,0.16729040520621816,837.0292706948784,3,1
24.0,4.0,01:04:42.720,97068.0,B,,放小球,,,B1,292.0,598.0,2.0,,,14,9,,A1,239.0,341.0,2.0,1000.0,336,63,378,878,288,334,297,285,30.0,30.0,0.0,20.0,0.75,16.75,16.766782637107216,37.5,53.0,64.92495668077107,0.17786456215091245,107.48023074035522,1,1
24.0,5.0,01:04:43.720,97093.0,A,,放小球,,1.0,A1,239.0,341.0,2.0,,,14,9,,A1,299.0,466.0,2.0,440.0,288,334,297,285,289,248,297,197,10.0,40.0,10.0,40.0,17.75,71.0,73.18512485471348,20.25,48.5,52.557706380701205,0.013199212350633566,1091.2424111992716,1,2
24.0,6.0,01:04:44.160,97104.0,A,,掛網球,,,A1,299.0,466.0,2.0,未回擊成功,對方失誤,14,10,B,,,,,15080.0,289,248,297,197,180,84,321,936,90.0,0.0,50.0,60.0,15.25,0.0,15.25,26.25,56.00000000000001,61.84708966475302,0.018051853442836142,120.65239326262865,2,1
25.0,1.0,01:04:59.240,97481.0,B,1.0,發長球,,,B4,236.0,678.0,2.0,,,14,10,,B2,121.0,6.0,1.0,2040.0,180,84,321,936,179,-73,226,-73,40.0,40.0,0.0,40.0,41.0,61.5,73.91380114701178,37.5,96.5,103.53018883398212,0.024887018042595403,770.0162335951106,1,4
25.0,2.0,01:05:01.280,97532.0,A,,切球,,,B2,121.0,6.0,1.0,,,14,10,,B4,313.0,616.0,2.0,840.0,179,-73,226,-73,285,49,359,961,70.0,40.0,60.0,40.0,38.25,18.5,42.48896915671172,43.5,53.5,68.95288246331694,0.04695610261380358,67.53517601961218,4,1
25.0,3.0,01:05:02.120,97553.0,B,,挑球,,,B4,313.0,616.0,2.0,,,14,10,,B2,110.0,33.0,1.0,1120.0,285,49,359,961,211,-14,285,28,10.0,50.0,50.0,80.0,40.25,43.75,59.448507130120596,31.25,29.499999999999996,42.97455642586669,0.028499855009055573,1017.8668871714021,1,3
25.0,4.0,01:05:03.240,97581.0,A,,長球,,,B2,110.0,33.0,1.0,,,14,10,,B3,315.0,864.0,1.0,1080.0,211,-14,285,28,311,56,383,1069,70.0,20.0,0.0,40.0,5.75,75.5,75.71864037342456,20.0,38.5,43.38490520907012,0.12366993619272967,42.5440947723653,3,1
25.0,5.0,01:05:04.320,97608.0,B,,切球,,,B3,315.0,864.0,1.0,,,14,10,,A2,316.0,275.0,2.0,600.0,311,56,383,1069,416,191,351,138,30.0,0.0,20.0,80.0,16.75,25.0,30.092565527053356,56.99999999999999,4.5,57.17735565763775,0.03389580772381741,759.5182683780555,1,2
25.0,6.0,01:05:04.920,97623.0,A,,放小球,,1.0,A2,316.0,275.0,2.0,,,14,10,,B1,322.0,599.0,2.0,1000.0,416,191,351,138,362,91,355,928,60.0,10.0,30.0,30.0,1.0,7.75,7.814249804043892,8.25,20.75,22.329912673362607,0.11935829564510547,111.60645142642964,2,1
25.0,7.0,01:05:05.920,97648.0,B,,挑球,,,B1,322.0,599.0,2.0,,,14,10,,A4,326.0,45.0,1.0,1280.0,362,91,355,928,447,-50,523,-126,10.0,50.0,20.0,80.0,5.25,16.25,17.077031357938065,5.5,17.0,17.867568385205637,0.04806708865052957,1056.3001467386057,1,4
25.0,8.0,01:05:07.200,97680.0,A,,殺球,1.0,,A4,326.0,45.0,1.0,,,14,10,,B3,336.0,747.0,2.0,400.0,447,-50,523,-126,451,-110,288,969,50.0,90.0,80.0,30.0,11.25,32.75,34.628384311139904,9.5,6.75,11.653862020806665,0.27205911407351946,76.0,4,1
25.0,9.0,01:05:07.600,97690.0,B,,擋小球,,,B3,336.0,747.0,2.0,,,14,10,,A2,218.0,274.0,1.0,840.0,451,-110,288,969,353,285,419,184,0.0,60.0,70.0,60.0,32.5,56.00000000000001,64.74758682761852,23.25,36.0,42.85513388148496,0.14451148542733627,813.7530337885077,1,2
25.0,10.0,01:05:08.440,97711.0,A,,撲球,,,A2,218.0,274.0,1.0,,,14,10,,A2,127.0,725.0,2.0,520.0,353,285,419,184,261,210,266,980,30.0,60.0,50.0,30.0,21.75,46.0,50.88283109261905,23.75,24.25,33.94296687091451,0.19040465691977207,153.11433636338563,2,1
25.0,11.0,01:05:08.960,97724.0,B,,防守回挑,,1.0,A2,127.0,725.0,2.0,,,14,10,,B4,162.0,38.0,1.0,1400.0,261,210,266,980,230,-73,261,-133,10.0,50.0,10.0,10.0,0.25,31.25,31.25099998400051,47.75,10.25,48.83774155302434,0.014966684258449292,41.0,1,4
25.0,12.0,01:05:10.360,97759.0,A,,長球,,,B4,162.0,38.0,1.0,,,14,10,,A3,138.0,875.0,1.0,1120.0,230,-73,261,-133,248,77,206,1094,70.0,90.0,20.0,90.0,5.75,139.75,139.8682415704151,3.0,227.25,227.26980111752638,0.18357557932640903,718.8525579004362,4,1
25.0,13.0,01:05:11.480,97787.0,B,,切球,1.0,,A3,138.0,875.0,1.0,,,14,10,,B2,113.0,297.0,2.0,1000.0,248,77,206,1094,212,304,233,267,60.0,60.0,50.0,20.0,6.0,84.0,84.2140130857092,13.75,57.99999999999999,59.607570827873865,0.015355348144781455,1004.4082835182115,1,2
25.0,14.0,01:05:12.480,97812.0,A,,放小球,,,B2,113.0,297.0,2.0,,,14,10,,A2,82.0,611.0,2.0,1040.0,212,304,233,267,238,178,190,936,0.0,30.0,40.0,80.0,65.0,36.75,74.66968929893842,28.499999999999996,38.0,47.5,0.14686534205660942,24.20743687382041,2,1
25.0,15.0,01:05:13.520,97838.0,B,,挑球,,1.0,A2,82.0,611.0,2.0,,,14,10,,B4,61.0,31.0,1.0,1480.0,238,178,190,936,138,-126,204,-36,40.0,40.0,30.0,0.0,24.0,31.5,39.60113634733226,18.25,20.0,27.075126961844518,0.034413337207800376,1096.6284694462386,1,4
25.0,16.0,01:05:15.000,97875.0,A,,長球,,,B4,61.0,31.0,1.0,,,14,10,,A3,69.0,881.0,1.0,1520.0,138,-126,204,-36,241,111,40,1148,70.0,80.0,30.0,80.0,9.25,12.0,15.15132007450176,39.25,42.0,57.485324214098334,0.12293761917485384,49.0,4,2
25.0,17.0,01:05:16.520,97913.0,B,,殺球,1.0,,A3,69.0,881.0,1.0,,,14,10,,B3,77.0,168.0,2.0,520.0,241,111,40,1148,209,158,285,158,0.0,50.0,30.0,20.0,2.5,31.25,31.34984050996113,55.75,42.0,69.80016117459901,0.073166836273745,971.1977141653496,2,2
25.0,18.0,01:05:17.040,97926.0,A,,擋小球,,,B3,77.0,168.0,2.0,,,14,10,,A1,74.0,584.0,2.0,1040.0,209,158,285,158,180,111,145,924,10.0,60.0,80.0,50.0,17.75,44.0,47.4453633140268,56.99999999999999,218.75,226.0543352824714,0.15475993880216105,1060.5743726868004,2,1
25.0,19.0,01:05:18.080,97952.0,B,,挑球,,1.0,A1,74.0,584.0,2.0,,,14,10,,A4,283.0,47.0,1.0,1240.0,180,111,145,924,373,-88,435,-228,10.0,80.0,40.0,20.0,12.75,49.5,51.11567763416621,21.5,182.0,183.26551776043414,,883.1240003532913,1,4
